relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.1,0.1,[DEF;X] [X.Nom] γεννήθηκε [PREPDEF;Y] [Y.Acc] .
P20,0.031746031746031744,0.031746031746031744,0.06349206349206349,0.06349206349206349,[DEF;X] [X.Nom] πέθανε [PREPDEF;Y] [Y.Acc] .
P279,0.07751937984496124,0.007751937984496124,0.10077519379844961,0.023255813953488372,[DEF;X] [X.Nom] είναι υποκατηγορία [DEF;Y] [Y.Gen] .
P37,0.0856353591160221,0.0856353591160221,0.2900552486187845,0.2900552486187845,Η επίσημη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .
P413,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] παίζει στη θέση [DEF;Y] [Y.Gen] .
P166,,,,,[DEF;X] [X.Nom] βραβεύτηκε με [Y] .
P449,0.0,0.0,0.16666666666666666,0.16666666666666666,[DEF;X] [X.Nom] προβλήθηκε αρχικά [PREPDEF;Y] [Y.Acc] .
P69,,,,,[DEF;X] [X.Nom] φοίτησε στο πανεπιστήμιο [DEF;Y] [Y.Gen] .
P47,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] συνορεύει με [DEF;Y] [Y.Acc] .
P138,0.0,0.0,0.21875,0.21875,[DEF;X] [X.Nom] πήρε το όνομά [DEF.Gen;X] από [DEF;Y] [Y.Acc] .
P364,0.0,0.0,0.023255813953488372,0.023255813953488372,Η πρωτότυπη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .
P54,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] παίζει [PREPDEF;Y] [Y.Acc] .
P463,0.0,0.0,0.14285714285714285,0.14285714285714285,[DEF;X] [X.Nom] είναι μέλος [DEF;Y] [Y.Gen] .
P101,0.0,0.0,0.0660377358490566,0.0,[DEF;X] [X.Nom] ειδικεύεται στο πεδίο [DEF;Y] [Y.Gen] .
P1923,0.0,0.0,1.0,1.0,[DEF;Y] [Y.Nom] συμμετείχε [PREPDEF;X] [X.Acc] .
P106,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] εργάζεται ως [Y] .
P527,0.0,0.0,0.13725490196078433,0.13725490196078433,[DEF;X] [X.Nom] αποτελείται από [Y.Acc] .
P102,0.0,0.0,1.0,1.0,[DEF;X] [X.Nom] είναι μέλος του [Y] κόμματος.
P530,0.0,0.0,0.015172413793103448,0.015172413793103448,[DEF;X] [X.Nom] διατηρεί διπλωματικές σχέσεις με [DEF;Y] [Y.Acc] .
P176,0.0,0.0,0.19298245614035087,0.19298245614035087,[DEF;X] [X.Nom] παράγεται από [DEF;Y] [Y.Acc] .
P27,0.0,0.0,0.25925925925925924,0.25925925925925924,[DEF;X] [X.Nom] είναι [Y] πολίτης .
P407,0.0,0.0,0.022900763358778626,0.022900763358778626,[DEF;X] [X.Nom] γράφτηκε στα [Y] .
P30,0.0,0.0,0.009345794392523364,0.009345794392523364,[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P178,0.0,0.0,0.08620689655172414,0.08620689655172414,[DEF;X] [X.Nom] αναπτύσσεται από [DEF;Y.Fem] [Y.Acc] .
