relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.024844720496894408,0.024844720496894408,0.17391304347826086,0.17391304347826086,[X]的出生地是[Y]。
P20,0.01990049751243781,0.01990049751243781,0.14925373134328357,0.14925373134328357,[X]的死亡地是[Y]。
P279,0.016819571865443424,0.016819571865443424,0.16666666666666666,0.16666666666666666,[X]的父类是[Y]。
P37,0.13360739979445016,0.13360739979445016,0.3052415210688592,0.3052415210688592,[X]的官方语言是[Y]。
P413,0.11979166666666667,0.11979166666666667,0.4427083333333333,0.4427083333333333,[X]的场上位置是[Y]。
P166,0.0,0.0,0.05896805896805897,0.05896805896805897,[X]被授予[Y]。
P449,0.0,0.0,0.08306709265175719,0.08306709265175719,[X]首播于[Y]。
P69,0.0,0.0,0.01680672268907563,0.01680672268907563,[X]就读于[Y]。
P47,0.03556910569105691,0.03556910569105691,0.20833333333333334,0.20833333333333334,[X]和[Y]接壤。
P138,0.10740740740740741,0.10740740740740741,0.2740740740740741,0.2740740740740741,[X]是以[Y]命名的。
P364,0.13059701492537312,0.13059701492537312,0.3208955223880597,0.3208955223880597,[X]的创作语言是[Y]。
P54,0.00558659217877095,0.00558659217877095,0.18994413407821228,0.18994413407821228,[X]的所属运动队是[Y]。
P463,0.10575139146567718,0.10575139146567718,0.22263450834879406,0.22263450834879406,[X]是[Y]的成员。
P101,0.021413276231263382,0.021413276231263382,0.2012847965738758,0.2012847965738758,[X]的工作领域是[Y]。
P1923,0.010404624277456647,0.010404624277456647,0.1861271676300578,0.1861271676300578,[X]的参与队伍是[Y]。
P106,0.006369426751592357,0.006369426751592357,0.11464968152866242,0.11464968152866242,[X]的职业是[Y]。
P527,0.0,0.0,0.1292517006802721,0.1292517006802721,[X]子类是[Y]。
P102,0.0,0.0,0.08148148148148149,0.08148148148148149,[X]属于[Y]政党。
P530,0.017,0.017,0.078,0.078,[X]与[Y]是邦交国。
P176,0.03731343283582089,0.03731343283582089,0.14925373134328357,0.14925373134328357,[X]的生产商是[Y]。
P27,0.1853035143769968,0.1853035143769968,0.2747603833865815,0.2747603833865815,[X]的国籍是[Y]。
P407,0.25316455696202533,0.25316455696202533,0.49683544303797467,0.49683544303797467,[X]的语言是[Y]。
P30,0.13997879109225875,0.13997879109225875,0.2873806998939555,0.2873806998939555,[X]所属大洲是[Y]。
P178,0.007633587786259542,0.007633587786259542,0.08396946564885496,0.08396946564885496,[X]是由[Y]开发的。
P1376,0.03293084522502744,0.03293084522502744,0.265642151481888,0.265642151481888,[X]是[Y]的首府。
P131,0.014539579967689823,0.014539579967689823,0.11793214862681745,0.11793214862681745,[X]的行政区是[Y]。
P1412,0.3624161073825503,0.3624161073825503,0.5324384787472036,0.5324384787472036,[X]的语言是[Y]。
P108,0.0,0.0,0.08333333333333333,0.08333333333333333,[X]的雇主是[Y]。
P136,0.002652519893899204,0.002652519893899204,0.14854111405835543,0.14854111405835543,[X]的艺术流派是[Y]。
P17,0.14948453608247422,0.14948453608247422,0.23195876288659795,0.23195876288659795,[X]的主权国家是[Y]。
P39,0.001876172607879925,0.001876172607879925,0.10881801125703565,0.10881801125703565,[X]的职位是[Y]。
P264,0.0,0.0,0.03125,0.03125,[X]的唱片厂商是[Y]。
P276,0.036170212765957444,0.036170212765957444,0.1,0.1,[X]位于[Y]。
P937,0.0970873786407767,0.0970873786407767,0.3333333333333333,0.3333333333333333,[X]的工作地点是[Y]。
P140,0.09699769053117784,0.09699769053117784,0.27251732101616627,0.27251732101616627,[X]的宗教信仰是[Y]。
P1303,0.004098360655737705,0.004098360655737705,0.12295081967213115,0.12295081967213115,[X]演奏[Y]。
P127,0.012658227848101266,0.012658227848101266,0.14936708860759493,0.14936708860759493,[X]归[Y]所有。
P103,0.2632696390658174,0.2632696390658174,0.4585987261146497,0.4585987261146497,[X]的母语是[Y]。
P190,0.0,0.0,0.21334681496461072,0.21334681496461072,[X]与[Y]是友好城市。
P1001,0.2655007949125596,0.2655007949125596,0.4419713831478537,0.4419713831478537,[X]的管辖范围是[Y]。
P31,0.006993006993006993,0.006993006993006993,0.12354312354312354,0.12354312354312354,[X]属于[Y]。
P495,0.045584045584045586,0.045584045584045586,0.2222222222222222,0.2222222222222222,[X]的原产地是[Y]。
P159,0.07429718875502007,0.07429718875502007,0.14056224899598393,0.14056224899598393,[X]的总部位于[Y]。
P36,0.11538461538461539,0.11538461538461539,0.3098901098901099,0.3098901098901099,[X]的行政中心是[Y]。
P740,0.0,0.0,0.022435897435897436,0.022435897435897436,[X]成立于[Y]。
P361,0.0018083182640144665,0.0018083182640144665,0.11754068716094032,0.11754068716094032,[X]构成[Y]。
