relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.3888888888888889,0.1388888888888889,[X] [Y.Loc] doğdu .
P20,0.0,0.0,0.11594202898550725,0.18840579710144928,[X] [Y.Loc] öldü .
P279,0.0,0.0,0.27722772277227725,0.10891089108910891,[X] [Y.Gen] alt sınıfıdır .
P37,0.002840909090909091,0.05965909090909091,0.16761363636363635,0.14204545454545456,[X.Gen] resmi dili [Y;be] .
P413,,,,,[X] [Y] pozisyonunda oynar .
P166,,,,,[X] [Y] ile ödüllendirildi .
P449,0.0,0.0,0.0,0.5,[X] orijinal olarak [Y.Loc] yayınlandı .
P69,,,,,[X] [Y] Üniversitesi'nde eğitim aldı .
P47,0.00816326530612245,0.00816326530612245,0.27346938775510204,0.27346938775510204,[X] [Y] ile sınır paylaşır .
P138,0.0,0.0,0.034482758620689655,0.034482758620689655,[X] [Y.Gen] ismini aldı .
P364,0.0297029702970297,0.0,0.31683168316831684,0.0891089108910891,[X.Gen] orijinal dili [Y;be] .
P54,,,,,[X] [Y] ile oynar .
P463,0.0,0.0,0.1346153846153846,0.6153846153846154,[X] [Y.Gen] bir üyesidir .
P101,0.0,0.0,0.0,0.0,[X] [Y] alanında çalışır .
P1923,,,,,[Y] [X.Acc] katıldı .
P106,0.0,0.0,0.07476635514018691,0.009345794392523364,[X] meslek olarak [Y;be] .
P527,0.0,0.0,0.3103448275862069,0.21839080459770116,[X] [Y.Abl] oluşur .
P102,,,,,[X] [Y] partisinin üyesidir .
P530,0.008287292817679558,0.008287292817679558,0.4350828729281768,0.4350828729281768,[X] [Y] ile diplomatik ilişkiler sürdürmektedir .
P176,0.35802469135802467,0.35802469135802467,0.4567901234567901,0.4567901234567901,[X] [Y] tarafından üretilir .
P27,0.012195121951219513,0.012195121951219513,0.2073170731707317,0.2073170731707317,[X] bir [Y] vatandaşıdır .
P407,0.0,0.0,0.0859375,0.50390625,[X] [Y.Loc] yazıldı .
P30,0.0,0.0,0.6345177664974619,0.24873096446700507,[X] [Y.Loc] bulunur .
P178,0.09734513274336283,0.09734513274336283,0.34513274336283184,0.34513274336283184,[X] [Y] tarafından geliştirildi .
P1376,0.0,0.0,0.18292682926829268,0.036585365853658534,[X] [Y.Gen] başkentidir .
P131,0.0,0.0,0.2807017543859649,0.32748538011695905,[X] [Y.Loc] bulunur .
P1412,0.004149377593360996,0.004149377593360996,0.06224066390041494,0.06224066390041494,[X] [Y] dilinde iletişim kurardı .
P108,0.0,0.0,0.25,0.25,[X] [Y] için çalışır .
P136,0.0,0.0,0.12244897959183673,0.12244897959183673,[X] [Y] müzik yapar .
P17,0.0,0.0,0.2558922558922559,0.3771043771043771,[X] [Y.Loc] bulunur .
P39,0.0,0.0,0.10714285714285714,0.10714285714285714,[X] [Y] pozisyonuna sahiptir .
P264,0.0,0.0,0.0,0.0,[X] [Y] müzik şirketi tarafından temsil edilir .
P276,0.0,0.0,0.32098765432098764,0.4074074074074074,[X] [Y.Loc] bulunur .
P937,0.0,0.0,0.17142857142857143,0.6857142857142857,[X] [Y.Loc] çalışırdı .
P140,0.423728813559322,0.423728813559322,0.6440677966101694,0.6440677966101694,[X] [Y] dinine mensuptur .
P1303,0.125,0.125,0.375,0.375,[X] [Y] çalar .
P127,0.0,0.0,0.4864864864864865,0.21621621621621623,[X] [Y.Dat] aittir .
P103,0.0,0.003003003003003003,0.06906906906906907,0.012012012012012012,[X.Gen] anadili [Y;be] .
P190,0.009708737864077669,0.009708737864077669,0.14563106796116504,0.14563106796116504,[X] ve [Y] ikiz şehirlerdir .
P1001,0.0,0.0,0.1702127659574468,0.3617021276595745,[X] [Y.Loc] bir yasal şarttır .
P31,0.0,0.0,0.11764705882352941,0.14705882352941177,[X] bir [Y;be] .
P495,0.0,0.0,0.2702702702702703,0.4594594594594595,[X] [Y.Loc] yaratıldı .
P159,0.0,0.0,0.36363636363636365,0.20454545454545456,[X.Gen] karargahı [Y.Loc] .
P36,0.0,0.056179775280898875,0.15730337078651685,0.3595505617977528,[X.Gen] başkenti [Y;be] .
P740,0.0,0.0,0.0625,0.53125,[X] [Y.Loc] kuruldu .
P361,0.0,0.0,0.1875,0.4375,[X] [Y.Gen] parçasıdır .
