relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.5974025974025974,0.0,[X.Nom] [родился;X-Gender=MASC|родилась;X-Gender=FEM|родилось;X-Gender=NEUT] в [Y.Ess] .
P20,0.022388059701492536,0.0,0.6865671641791045,0.05970149253731343,[X.Nom] [умер;X-Gender=MASC|умерла;X-Gender=FEM|умерло;X-Gender=NEUT] в [Y.Ess] .
P279,0.0,0.0,0.2845528455284553,0.983739837398374,[X.Nom] — подкласс [Y.Gen] .
P37,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,Официальный язык [X.Gen] — [Y.Nom] .
P413,0.02127659574468085,0.0,0.3617021276595745,0.5531914893617021,[X.Nom] играет на позиции [Y.Gen] .
P166,,,,,[X.Nom] [был;X-Gender=MASC|была;X-Gender=FEM|было;X-Gender=NEUT] [награждён;X-Gender=MASC|награждена;X-Gender=FEM|награждено;X-Gender=NEUT] [Y.Ins] .
P449,0.010309278350515464,0.010309278350515464,0.7731958762886598,0.7731958762886598,""" [X.Nom] "" впервые [транслировался;X-Gender=MASC|транслировалась;X-Gender=FEM|транслировалось;X-Gender=NEUT] по [Y.Dat] ."
P69,,,,,[X.Nom] [учился;X-Gender=MASC|училaсь;X-Gender=FEM|училось;X-Gender=NEUT] в [Y.Ess] .
P47,0.04032258064516129,0.008064516129032258,0.28225806451612906,0.5403225806451613,[X.Nom] граничит с [Y.Ins] .
P138,0.08333333333333333,0.0,0.4583333333333333,0.4166666666666667,[X.Nom] [назван;X-Gender=MASC|названа;X-Gender=FEM|названо;X-Gender=NEUT] в честь [Y.Gen] .
P364,,,,,"Язык оригинала "" [X.Gen] "" — [Y.Nom] ."
P54,0.0,0.0,0.8,1.0,[X.Nom] играет за [Y.Acc] .
P463,0.0,0.0,0.9130434782608695,0.9130434782608695,[X.Nom] — участник [Y.Gen] .
P101,0.0,0.0,0.24786324786324787,0.24786324786324787,Область деятельности [X.Gen] — [Y.Nom] .
P1923,0.0,0.0,0.9090909090909091,0.9090909090909091,[Y.Nom] [принял;Y-Gender=MASC|приняла;Y-Gender=FEM|приняло;Y-Gender=NEUT] участие в [X.Ess] .
P106,0.0,0.0,0.0851063829787234,0.925531914893617,[X.Nom] работает [Y.Ins] .
P527,0.0,0.0,0.34,0.64,[X.Nom] состоит из [Y.Gen] .
P102,0.0,0.0,1.0,1.0,[X.Nom] — член партии [Y.Nom] .
P530,0.06451612903225806,0.01152073732718894,0.18663594470046083,1.0,[X.Nom] поддерживает дипломатические отношения с [Y.Ins] .
P176,0.0,0.0,0.7603686635944701,0.7741935483870968,[X.Nom] производится [Y.Ins] .
P27,0.4938650306748466,0.4723926380368098,0.8006134969325154,0.8957055214723927,[X.Nom] — [гражданин;X-Gender=MASC|гражданка;X-Gender=FEM|гражданин;X-Gender=NEUT] [Y.Gen] .
P407,,,,,""" [X.Nom] "" [написан;X-Gender=MASC|написана;X-Gender=FEM|написано;X-Gender=NEUT] на [Y.Ess] ."
P30,0.0,0.0,0.415,0.94,[X.Nom] находится в [Y.Ess] .
P178,0.0,0.0,0.76,0.76,[X.Nom] [разработан;X-Gender=MASC|разработана;X-Gender=FEM|разработано;X-Gender=NEUT] [Y.Ins] .
P1376,0.14285714285714285,0.07142857142857142,0.4523809523809524,0.7142857142857143,[X.Nom] — столица [Y.Gen] .
P131,0.13138686131386862,0.08029197080291971,0.40875912408759124,0.9124087591240876,[X.Nom] находится в [Y.Ess] .
P1412,,,,,[X.Nom] [говорил;X-Gender=MASC|говорила;X-Gender=FEM|говорило;X-Gender=NEUT] на [Y.Ess] .
P108,0.0,0.0,0.07142857142857142,0.07142857142857142,[X.Nom] [работал;X-Gender=MASC|работала;X-Gender=FEM|работало;X-Gender=NEUT] на [Y.Acc] .
P136,0.0,0.0,0.04132231404958678,0.9504132231404959,[X.Nom] работает в жанре [Y.Gen] .
P17,0.1402116402116402,0.09788359788359788,0.5211640211640212,0.8968253968253969,[X.Nom] находится в [Y.Ess] .
P39,0.016260162601626018,0.0,0.22764227642276422,0.7723577235772358,[X.Nom] занимает должность [Y.Gen] .
P264,,,,,[X.Nom] сотрудничает с лейблом [Y.Nom] .
P276,0.05555555555555555,0.0,0.3888888888888889,0.6111111111111112,[X.Nom] находится в [Y.Ess] .
P937,0.07109004739336493,0.0,0.35071090047393366,0.26066350710900477,[X.Nom] [работал;X-Gender=MASC|работала;X-Gender=FEM|работало;X-Gender=NEUT] в [Y.Ess] .
P140,0.6060606060606061,0.6060606060606061,0.8181818181818182,0.8181818181818182,[X.Nom] исповедует [Y.Acc] .
P1303,,,,,[X.Nom] играет на [Y.Ess] .
P127,0.0,0.0,0.5223880597014925,0.6417910447761194,[X.Nom] принадлежит [Y.Dat] .
P103,,,,,Родной язык [X.Gen] — [Y.Nom] .
P190,0.04721030042918455,0.04721030042918455,0.8025751072961373,0.8025751072961373,[X.Nom] и [Y.Nom] — города-побратимы .
P1001,0.0,0.0,0.4853801169590643,0.5321637426900585,Юрисдикция [X.Gen] распространяется на [Y.Acc] .
P31,0.0,0.0,0.07142857142857142,0.07142857142857142,[X.Nom] — [Y.Nom] .
P495,0.0,0.0,0.0661764705882353,0.031862745098039214,[X.Nom] [был;X-Gender=MASC|была;X-Gender=FEM|было;X-Gender=NEUT] [создан;X-Gender=MASC|создана;X-Gender=FEM|создано;X-Gender=NEUT] в [Y.Ess] .
P159,0.18681318681318682,0.02197802197802198,0.3516483516483517,0.8901098901098901,Штаб-квартира [X.Gen] находится в [Y.Ess] .
P36,0.23214285714285715,0.23214285714285715,0.42857142857142855,0.42857142857142855,Столица [X.Gen] — [Y.Nom] .
P740,0.0,0.0,0.3469387755102041,0.01020408163265306,[X.Nom] [образовалась;X-Gender=MASC|образовалась;X-Gender=FEM|образовалось;X-Gender=NEUT] в [Y.Ess] .
P361,0.0,0.0,0.43243243243243246,0.8918918918918919,[X.Nom] — часть [Y.Gen] .
