relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.08653846153846154,0.07371794871794872,[X.Nom] [родился;X-Gender=MASC|родилась;X-Gender=FEM|родилось;X-Gender=NEUT] в [Y.Ess] .
P20,0.0,0.0,0.03361344537815126,0.03361344537815126,[X.Nom] [умер;X-Gender=MASC|умерла;X-Gender=FEM|умерло;X-Gender=NEUT] в [Y.Ess] .
P279,0.0,0.0,0.04292527821939587,0.04451510333863275,[X.Nom] — подкласс [Y.Gen] .
P37,0.0,0.0,0.06742738589211618,0.06742738589211618,Официальный язык [X.Gen] — [Y.Nom] .
P413,0.0,0.0,0.0,0.013559322033898305,[X.Nom] играет на позиции [Y.Gen] .
P166,0.0,0.0,0.036053130929791274,0.04933586337760911,[X.Nom] [был;X-Gender=MASC|была;X-Gender=FEM|было;X-Gender=NEUT] [награждён;X-Gender=MASC|награждена;X-Gender=FEM|награждено;X-Gender=NEUT] [Y.Ins] .
P449,0.0,0.0,0.3641025641025641,0.36923076923076925,""" [X.Nom] "" впервые [транслировался;X-Gender=MASC|транслировалась;X-Gender=FEM|транслировалось;X-Gender=NEUT] по [Y.Dat] ."
P69,0.0,0.0,0.019138755980861243,0.03827751196172249,[X.Nom] [учился;X-Gender=MASC|училaсь;X-Gender=FEM|училось;X-Gender=NEUT] в [Y.Ess] .
P47,0.0034883720930232558,0.0,0.13023255813953488,0.08255813953488372,[X.Nom] граничит с [Y.Ins] .
P138,0.005802707930367505,0.0,0.058027079303675046,0.06576402321083172,[X.Nom] [назван;X-Gender=MASC|названа;X-Gender=FEM|названо;X-Gender=NEUT] в честь [Y.Gen] .
P364,0.0,0.0,0.03409090909090909,0.03409090909090909,"Язык оригинала "" [X.Gen] "" — [Y.Nom] ."
P54,0.0,0.0,0.023668639053254437,0.04142011834319527,[X.Nom] играет за [Y.Acc] .
P463,0.0,0.0,0.10077519379844961,0.11627906976744186,[X.Nom] — участник [Y.Gen] .
P101,0.0,0.0,0.011396011396011397,0.011396011396011397,Область деятельности [X.Gen] — [Y.Nom] .
P1923,0.0,0.0,0.1040268456375839,0.1040268456375839,[Y.Nom] [принял;Y-Gender=MASC|приняла;Y-Gender=FEM|приняло;Y-Gender=NEUT] участие в [X.Ess] .
P106,0.0,0.0,0.0472972972972973,0.04391891891891892,[X.Nom] работает [Y.Ins] .
P527,0.0,0.0,0.07121212121212121,0.07272727272727272,[X.Nom] состоит из [Y.Gen] .
P102,0.0,0.0,0.08181818181818182,0.08181818181818182,[X.Nom] — член партии [Y.Nom] .
P530,0.0,0.0,0.09010600706713781,0.17314487632508835,[X.Nom] поддерживает дипломатические отношения с [Y.Ins] .
P176,0.0,0.0,0.033783783783783786,0.030405405405405407,[X.Nom] производится [Y.Ins] .
P27,0.01775147928994083,0.0,0.1893491124260355,0.1952662721893491,[X.Nom] — [гражданин;X-Gender=MASC|гражданка;X-Gender=FEM|гражданин;X-Gender=NEUT] [Y.Gen] .
P407,0.025,0.0,0.032692307692307694,0.03076923076923077,""" [X.Nom] "" [написан;X-Gender=MASC|написана;X-Gender=FEM|написано;X-Gender=NEUT] на [Y.Ess] ."
P30,0.0,0.0,0.10596026490066225,0.09933774834437085,[X.Nom] находится в [Y.Ess] .
P178,0.0,0.0,0.02252252252252252,0.033783783783783786,[X.Nom] [разработан;X-Gender=MASC|разработана;X-Gender=FEM|разработано;X-Gender=NEUT] [Y.Ins] .
P1376,0.006696428571428571,0.002232142857142857,0.08482142857142858,0.10714285714285714,[X.Nom] — столица [Y.Gen] .
P131,0.0021691973969631237,0.0,0.09544468546637744,0.07592190889370933,[X.Nom] находится в [Y.Ess] .
P1412,0.10766961651917405,0.0,0.14749262536873156,0.14749262536873156,[X.Nom] [говорил;X-Gender=MASC|говорила;X-Gender=FEM|говорило;X-Gender=NEUT] на [Y.Ess] .
P108,0.0,0.0,0.034482758620689655,0.034482758620689655,[X.Nom] [работал;X-Gender=MASC|работала;X-Gender=FEM|работало;X-Gender=NEUT] на [Y.Acc] .
