relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.17699115044247787,0.34513274336283184,[X] [Y.Loc] doğdu .
P20,0.0,0.0,0.1503267973856209,0.3790849673202614,[X] [Y.Loc] öldü .
P279,0.002352941176470588,0.0,0.15764705882352942,0.27294117647058824,[X] [Y.Gen] alt sınıfıdır .
P37,0.0,0.11396648044692738,0.0011173184357541898,0.39664804469273746,[X.Gen] resmi dili [Y;be] .
P413,0.0,0.0,0.07,0.07,[X] [Y] pozisyonunda oynar .
P166,0.0,0.0,0.017064846416382253,0.017064846416382253,[X] [Y] ile ödüllendirildi .
P449,0.0,0.0,0.006802721088435374,0.047619047619047616,[X] orijinal olarak [Y.Loc] yayınlandı .
P69,0.0,0.0,0.12,0.12,[X] [Y] Üniversitesi'nde eğitim aldı .
P47,0.0056625141562853904,0.0056625141562853904,0.29218573046432617,0.29218573046432617,[X] [Y] ile sınır paylaşır .
P138,0.0,0.004132231404958678,0.06198347107438017,0.14049586776859505,[X] [Y.Gen] ismini aldı .
P364,0.0,0.13013698630136986,0.02054794520547945,0.5684931506849316,[X.Gen] orijinal dili [Y;be] .
P54,0.0,0.0,0.017094017094017096,0.017094017094017096,[X] [Y] ile oynar .
P463,0.0,0.0,0.018691588785046728,0.1378504672897196,[X] [Y.Gen] bir üyesidir .
P101,0.0033444816053511705,0.0033444816053511705,0.25752508361204013,0.25752508361204013,[X] [Y] alanında çalışır .
P1923,0.0,0.0,0.0026490066225165563,0.0026490066225165563,[Y] [X.Acc] katıldı .
P106,0.0,0.0,0.0,0.48205128205128206,[X] meslek olarak [Y;be] .
P527,0.0,0.0,0.04072398190045249,0.19683257918552036,[X] [Y.Abl] oluşur .
P102,0.0,0.0,0.06666666666666667,0.06666666666666667,[X] [Y] partisinin üyesidir .
P530,0.007,0.007,0.517,0.517,[X] [Y] ile diplomatik ilişkiler sürdürmektedir .
P176,0.12,0.12,0.26,0.26,[X] [Y] tarafından üretilir .
P27,0.016597510373443983,0.016597510373443983,0.26556016597510373,0.26556016597510373,[X] bir [Y] vatandaşıdır .
P407,0.0,0.0,0.03225806451612903,0.6203473945409429,[X] [Y.Loc] yazıldı .
P30,0.0,0.0,0.2345679012345679,0.41975308641975306,[X] [Y.Loc] bulunur .
P178,0.05166051660516605,0.05166051660516605,0.34686346863468637,0.34686346863468637,[X] [Y] tarafından geliştirildi .
P1376,0.0,0.0,0.07282184655396619,0.12483745123537061,[X] [Y.Gen] başkentidir .
P131,0.0,0.0,0.07029478458049887,0.35147392290249435,[X] [Y.Loc] bulunur .
P1412,0.005305039787798408,0.005305039787798408,0.46153846153846156,0.46153846153846156,[X] [Y] dilinde iletişim kurardı .
P108,0.0,0.0,0.08571428571428572,0.08571428571428572,[X] [Y] için çalışır .
P136,0.0,0.0,0.22924901185770752,0.22924901185770752,[X] [Y] müzik yapar .
P17,0.0,0.0,0.10105263157894737,0.5515789473684211,[X] [Y.Loc] bulunur .
P39,0.0,0.0,0.1492063492063492,0.1492063492063492,[X] [Y] pozisyonuna sahiptir .
P264,0.0,0.0,0.07051282051282051,0.07051282051282051,[X] [Y] müzik şirketi tarafından temsil edilir .
P276,0.0,0.0,0.0546875,0.28515625,[X] [Y.Loc] bulunur .
P937,0.0,0.0,0.04219409282700422,0.5738396624472574,[X] [Y.Loc] çalışırdı .
P140,0.12359550561797752,0.12359550561797752,0.250936329588015,0.250936329588015,[X] [Y] dinine mensuptur .
P1303,0.023529411764705882,0.023529411764705882,0.23529411764705882,0.23529411764705882,[X] [Y] çalar .
P127,0.0,0.0,0.06854838709677419,0.12096774193548387,[X] [Y.Dat] aittir .
P103,0.0,0.0687960687960688,0.0171990171990172,0.5749385749385749,[X.Gen] anadili [Y;be] .
P190,0.01867219917012448,0.01867219917012448,0.31016597510373445,0.31016597510373445,[X] ve [Y] ikiz şehirlerdir .
P1001,0.0,0.0,0.11026615969581749,0.34220532319391633,[X] [Y.Loc] bir yasal şarttır .
P31,0.0,0.031007751937984496,0.0,0.16666666666666666,[X] bir [Y;be] .
P495,0.0,0.0,0.043137254901960784,0.23137254901960785,[X] [Y.Loc] yaratıldı .
P159,0.0,0.0,0.07194244604316546,0.34532374100719426,[X.Gen] karargahı [Y.Loc] .
P36,0.0,0.009859154929577466,0.0,0.12394366197183099,[X.Gen] başkenti [Y;be] .
P740,0.0,0.0,0.09387755102040816,0.23265306122448978,[X] [Y.Loc] kuruldu .
P361,0.0,0.0,0.05952380952380952,0.1636904761904762,[X] [Y.Gen] parçasıdır .
