relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.0,0.0,[X] werd geboren in [Y] .
P20,0.0,0.0,0.0,0.0,[X] stierf in [Y] .
P279,0.03488372093023256,0.03488372093023256,0.16666666666666666,0.16666666666666666,[X] is een subklasse van [Y] .
P37,0.1774193548387097,0.1774193548387097,0.25806451612903225,0.25806451612903225,De officiële taal van [X] is [Y] .
P413,0.0,0.0,0.3778705636743215,0.3778705636743215,[X] speelt in [Y] positie .
P166,,,,,[X] heeft de [Y] gekregen .
P449,0.015384615384615385,0.015384615384615385,0.12307692307692308,0.12307692307692308,[X] werd oorspronkelijk uitgezonden op [Y] .
P69,,,,,[X] is opgeleid aan de Universiteit van [Y] .
P47,0.0,0.0,0.0022988505747126436,0.0022988505747126436,[X] deelt grens met [Y] .
P138,0.16049382716049382,0.16049382716049382,0.18518518518518517,0.18518518518518517,[X] is vernoemd naar [Y] .
P364,0.15706806282722513,0.15706806282722513,0.23298429319371727,0.23298429319371727,De oorspronkelijke taal van [X] is [Y] .
P54,0.0,0.0,0.0,0.0,[X] speelt met [Y] .
P463,0.0,0.0,0.0,0.0,[X] is lid van [Y] .
P101,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.005649717514124294,[X] werkt op het gebied van [Y] .
P1923,0.0,0.0,0.0,0.0,[Y] nam deel aan de [X] .
P106,0.005908419497784343,0.005908419497784343,0.21270310192023634,0.21270310192023634,[X] is een [Y] van beroep .
P527,0.0,0.0,0.11510791366906475,0.11510791366906475,[X] bestaat uit [Y] .
P102,0.0,0.0,0.35714285714285715,0.35714285714285715,[X] is lid van de [Y] politieke partij .
P530,0.0,0.0,0.0,0.0,[X] onderhoudt diplomatieke betrekkingen met [Y] .
P176,0.6933333333333334,0.6933333333333334,0.7066666666666667,0.7066666666666667,[X] wordt geproduceerd door [Y] .
P27,0.0,0.0,0.41005291005291006,0.41005291005291006,[X] is [Y] burger .
P407,0.0016778523489932886,0.0016778523489932886,0.0050335570469798654,0.0050335570469798654,[X] is geschreven in [Y] .
P30,0.005,0.005,0.055,0.055,[X] bevindt zich in [Y] .
P178,0.4823529411764706,0.4823529411764706,0.5294117647058824,0.5294117647058824,[X] is ontwikkeld door [Y] .
P1376,0.3273809523809524,0.3273809523809524,0.43452380952380953,0.43452380952380953,[X] is de hoofdstad van [Y] .
P131,0.03968253968253968,0.03968253968253968,0.051587301587301584,0.051587301587301584,[X] bevindt zich in [Y] .
P1412,0.0,0.0,0.038157894736842106,0.038157894736842106,[X] communiceerde vroeger in [Y] .
P108,0.05,0.05,0.05,0.05,[X] werkt voor [Y] .
P136,0.0,0.0,0.2651006711409396,0.2651006711409396,[X] speelt [Y] muziek .
P17,0.04798464491362764,0.04798464491362764,0.08061420345489444,0.08061420345489444,[X] bevindt zich in [Y] .
P39,0.0,0.0,0.01568627450980392,0.01568627450980392,[X] heeft de positie van [Y] .
P264,0.0,0.0,1.0,1.0,[X] wordt weergegeven door muzieklabel [Y] .
P276,0.10650887573964497,0.10650887573964497,0.1301775147928994,0.1301775147928994,[X] bevindt zich in [Y] .
P937,0.011111111111111112,0.011111111111111112,0.01904761904761905,0.01904761904761905,[X] werkte vroeger in [Y] .
P140,0.0,0.0,0.028846153846153848,0.028846153846153848,[X] is verbonden met de [Y] religie .
P1303,0.014109347442680775,0.014109347442680775,0.06349206349206349,0.06349206349206349,[X] speelt [Y] .
P127,0.07692307692307693,0.07692307692307693,0.09230769230769231,0.09230769230769231,[X] is eigendom van [Y] .
P103,0.47392290249433106,0.47392290249433106,0.4931972789115646,0.4931972789115646,De moedertaal van [X] is [Y] .
P190,0.0019801980198019802,0.0019801980198019802,0.08712871287128712,0.08712871287128712,[X] en [Y] zijn tweelingsteden .
P1001,0.43846153846153846,0.43846153846153846,0.5846153846153846,0.5846153846153846,[X] is een wettelijke term in [Y] .
P31,0.06289308176100629,0.06289308176100629,0.13836477987421383,0.13836477987421383,[X] is een [Y] .
P495,0.0,0.0,0.0,0.0,[X] is gemaakt in [Y] .
P159,0.1284722222222222,0.1284722222222222,0.14930555555555555,0.14930555555555555,Het hoofdkantoor van [X] staat in [Y] .
P36,0.21604938271604937,0.21604938271604937,0.41975308641975306,0.41975308641975306,De hoofdstad van [X] is [Y] .
P740,0.0,0.0,0.0,0.0,[X] is opgericht in [Y] .
P361,0.023255813953488372,0.023255813953488372,0.05813953488372093,0.05813953488372093,[X] is onderdeel van [Y] .
