relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.18928571428571428,0.18928571428571428,0.5178571428571429,0.5178571428571429,[X] est [né;X-Gender=MASC|née;X-Gender=FEM] [PREPLOC;Y] [Y] .
P20,0.16752577319587628,0.16752577319587628,0.4329896907216495,0.4329896907216495,[X] est [décédé;X-Gender=MASC|décédée;X-Gender=FEM] [PREPLOC;Y] [Y] .
P279,0.21739130434782608,0.21739130434782608,0.36231884057971014,0.36231884057971014,[X] est une sous-classe [PREPDEF;Y] [Y] .
P37,0.0,0.0,0.09482758620689655,0.09482758620689655,La langue officielle [PREPDEF;X] [X] est [ARTDEF;Y] [Y] .
P413,0.0,0.0,0.0481283422459893,0.0481283422459893,[X] joue en position [PREPDEF;Y] [Y] .
P166,,,,,[X] a reçu [ARTDEF;Y] [Y] .
P449,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,[X] a été diffusé à l'origine sur [Y] .
P69,0.0,0.0,0.0,0.0,[X] a fait ses études à [ARTDEF;Y] [Y] .
P47,0.09815950920245399,0.09815950920245399,0.2361963190184049,0.2361963190184049,[ARTDEF;X] [X] partage la frontière avec [ARTDEF;Y] [Y] .
P138,0.0625,0.0625,0.075,0.075,[ARTDEF;X] [X] est [nommé;X-Gender=MASC|nommée;X-Gender=FEM] d'après [ARTDEF;Y] [Y] .
P364,0.002242152466367713,0.002242152466367713,0.002242152466367713,0.002242152466367713,La langue d'origine de [X] est  [ARTDEF;Y] [Y] .
P54,,,,,[X] joue avec [ARTDEF;Y] [Y] .
P463,0.0,0.0,0.0,0.0,[X] est membre de [ARTDEF;Y] [Y] .
P101,0.0,0.0,0.008356545961002786,0.008356545961002786,[X] travaille dans le domaine [PREPDEF;Y] [Y] .
P1923,,,,,[Y] a [participé;Y-Gender=MASC|participée;Y-Gender=FEM] [PREPDEF-à;X] [X] .
P106,0.0017035775127768314,0.0017035775127768314,0.04770017035775128,0.04770017035775128,[X] est [ARTIND;Y] [Y] de profession .
P527,0.007518796992481203,0.007518796992481203,0.3533834586466165,0.3533834586466165,[X] se compose de [Y] .
P102,0.0,0.0,0.0,0.0,[X] est membre [PREPDEF;Y] [Y] .
P530,0.013531799729364006,0.013531799729364006,0.2395128552097429,0.2395128552097429,[ARTDEF;X] [X] entretient des relations diplomatiques avec [ARTDEF;Y] [Y] .
P176,0.8910505836575876,0.8910505836575876,0.9221789883268483,0.9221789883268483,[ARTDEF;X] [X] est produit par [Y] .
P27,0.03333333333333333,0.03333333333333333,0.21666666666666667,0.21666666666666667,[X] est citoyen [ARTDEF;Y] [Y] .
P407,0.13494318181818182,0.13494318181818182,0.2755681818181818,0.2755681818181818,[X] a été [écrit;X-Gender=MASC|écrite;X-Gender=FEM] en [Y] .
P30,0.14925373134328357,0.14925373134328357,0.40298507462686567,0.40298507462686567,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] en [Y] .
P178,0.5054347826086957,0.5054347826086957,0.9021739130434783,0.9021739130434783,[X] est [développé;X-Gender=MASC|développée;X-Gender=FEM] par [Y] .
P1376,0.4496124031007752,0.4496124031007752,0.6434108527131783,0.6434108527131783,[X] est la capitale [PREPDEF;Y] [Y] .
P131,0.21973094170403587,0.21973094170403587,0.45739910313901344,0.45739910313901344,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P1412,0.06513409961685823,0.06513409961685823,0.1251596424010217,0.1251596424010217,[X] communiquait en [Y] .
P108,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,[X] travaille pour [Y] .
P136,0.0,0.0,0.08745247148288973,0.08745247148288973,[X] fait de la musique [Y] .
P17,0.21894736842105264,0.21894736842105264,0.39789473684210525,0.39789473684210525,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P39,0.005555555555555556,0.005555555555555556,0.5944444444444444,0.5944444444444444,[X] est [Y]
P264,0.0,0.0,0.9411764705882353,0.9411764705882353,[X] est [représenté;X-Gender=MASC|représentée;X-Gender=FEM] par le label musical [Y] .
P276,0.2900763358778626,0.2900763358778626,0.5343511450381679,0.5343511450381679,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P937,0.018487394957983194,0.018487394957983194,0.09411764705882353,0.09411764705882353,[X] travaillait auparavant [PREPDEF-à;Y] [Y] .
