relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.003,0.003,0.242,0.242,[X] was born in [Y] .
P20,0.002,0.002,0.151,0.151,[X] died in [Y] .
P279,0.03903903903903904,0.03903903903903904,0.22022022022022023,0.22022022022022023,[X] is a subclass of [Y] .
P37,0.08,0.08,0.24,0.24,The official language of [X] is [Y] .
P413,0.0,0.0,0.13,0.13,[X] plays in [Y] position .
P166,0.0,0.0,0.21,0.21,[X] was awarded the [Y] .
P449,0.04704704704704705,0.04704704704704705,0.28128128128128127,0.28128128128128127,[X] was originally aired on [Y] .
P69,0.0,0.0,0.3457286432160804,0.3457286432160804,[X] was educated at the University of [Y] .
P47,0.036,0.036,0.273,0.273,[X] shares border with [Y] .
P138,0.133,0.133,0.243,0.243,[X] is named after [Y] .
P364,0.01701701701701702,0.01701701701701702,0.0960960960960961,0.0960960960960961,The original language of [X] is [Y] .
P54,0.0,0.0,0.12212212212212212,0.12212212212212212,[X] plays with [Y] .
P463,0.029,0.029,0.134,0.134,[X] is a member of [Y] .
P101,0.022022022022022022,0.022022022022022022,0.09509509509509509,0.09509509509509509,[X] works in the field of [Y] .
P1923,0.0,0.0,0.08844221105527639,0.08844221105527639,[Y] participated in the [X] .
P106,0.006024096385542169,0.006024096385542169,0.48493975903614456,0.48493975903614456,[X] is a [Y] by profession .
P527,0.002,0.002,0.145,0.145,[X] consists of [Y] .
P102,0.003009027081243731,0.003009027081243731,0.09327983951855567,0.09327983951855567,[X] is a member of the [Y] political party .
P530,0.0,0.0,0.077,0.077,[X] maintains diplomatic relations with [Y] .
P176,0.254,0.254,0.335,0.335,[X] is produced by [Y] .
P27,0.0,0.0,0.156,0.156,[X] is [Y] citizen .
P407,0.012,0.012,0.057,0.057,[X] was written in [Y] .
P30,0.29,0.29,0.562,0.562,[X] is located in [Y] .
P178,0.11133400200601805,0.11133400200601805,0.2136409227683049,0.2136409227683049,[X] is developed by [Y] .
P1376,0.2122122122122122,0.2122122122122122,0.36736736736736736,0.36736736736736736,[X] is the capital of [Y] .
P131,0.046,0.046,0.24,0.24,[X] is located in [Y] .
P1412,0.068,0.068,0.209,0.209,[X] used to communicate in [Y] .
P108,0.0,0.0,0.10452261306532663,0.10452261306532663,[X] works for [Y] .
P136,0.0,0.0,0.15030060120240482,0.15030060120240482,[X] plays [Y] music .
P17,0.061,0.061,0.255,0.255,[X] is located in [Y] .
P39,0.005,0.005,0.155,0.155,[X] has the position of [Y] .
P264,0.0,0.0,0.074,0.074,[X] is represented by music label [Y] .
P276,0.024,0.024,0.231,0.231,[X] is located in [Y] .
P937,0.002,0.002,0.189,0.189,[X] used to work in [Y] .
P140,0.001002004008016032,0.001002004008016032,0.22645290581162325,0.22645290581162325,[X] is affiliated with the [Y] religion .
P1303,0.0,0.0,0.08408408408408409,0.08408408408408409,[X] plays [Y] .
P127,0.046,0.046,0.17,0.17,[X] is owned by [Y] .
P103,0.0,0.0,0.016,0.016,The native language of [X] is [Y] .
P190,0.00501002004008016,0.00501002004008016,0.3186372745490982,0.3186372745490982,[X] and [Y] are twin cities .
P1001,0.2682682682682683,0.2682682682682683,0.4014014014014014,0.4014014014014014,[X] is a legal term in [Y] .
P31,0.041,0.041,0.28,0.28,[X] is a [Y] .
P495,0.0,0.0,0.121,0.121,[X] was created in [Y] .
P159,0.12424242424242424,0.12424242424242424,0.34545454545454546,0.34545454545454546,The headquarter of [X] is in [Y] .
P36,0.18018018018018017,0.18018018018018017,0.3483483483483483,0.3483483483483483,The capital of [X] is [Y] .
P740,0.006030150753768844,0.006030150753768844,0.13668341708542714,0.13668341708542714,[X] was founded in [Y] .
P361,0.004,0.004,0.193,0.193,[X] is part of [Y] .
