relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.002288329519450801,0.002288329519450801,0.16590389016018306,0.16590389016018306,[X] werd geboren in [Y] .
P20,0.0011695906432748538,0.0011695906432748538,0.1976608187134503,0.1976608187134503,[X] stierf in [Y] .
P279,0.025,0.025,0.221875,0.221875,[X] is een subklasse van [Y] .
P37,0.19873150105708245,0.19873150105708245,0.3773784355179704,0.3773784355179704,De officiële taal van [X] is [Y] .
P413,0.0,0.0,0.45707070707070707,0.45707070707070707,[X] speelt in [Y] positie .
P166,0.0,0.0,0.006936416184971098,0.006936416184971098,[X] heeft de [Y] gekregen .
P449,0.006864988558352402,0.006864988558352402,0.12814645308924486,0.12814645308924486,[X] werd oorspronkelijk uitgezonden op [Y] .
P69,0.0,0.0,0.14646464646464646,0.14646464646464646,[X] is opgeleid aan de Universiteit van [Y] .
P47,0.009316770186335404,0.009316770186335404,0.2122153209109731,0.2122153209109731,[X] deelt grens met [Y] .
P138,0.0469208211143695,0.0469208211143695,0.1774193548387097,0.1774193548387097,[X] is vernoemd naar [Y] .
P364,0.29534883720930233,0.29534883720930233,0.6325581395348837,0.6325581395348837,De oorspronkelijke taal van [X] is [Y] .
P54,0.0,0.0,0.16647398843930636,0.16647398843930636,[X] speelt met [Y] .
P463,0.0,0.0,0.2,0.2,[X] is lid van [Y] .
P101,0.0011947431302270011,0.0011947431302270011,0.0979689366786141,0.0979689366786141,[X] werkt op het gebied van [Y] .
P1923,0.0,0.0,0.22138364779874214,0.22138364779874214,[Y] nam deel aan de [X] .
P106,0.010976948408342482,0.010976948408342482,0.4654226125137212,0.4654226125137212,[X] is een [Y] van beroep .
P527,0.0,0.0,0.17699115044247787,0.17699115044247787,[X] bestaat uit [Y] .
P102,0.0,0.0,0.09305210918114144,0.09305210918114144,[X] is lid van de [Y] politieke partij .
P530,0.0,0.0,0.06325301204819277,0.06325301204819277,[X] onderhoudt diplomatieke betrekkingen met [Y] .
P176,0.21943048576214405,0.21943048576214405,0.3165829145728643,0.3165829145728643,[X] wordt geproduceerd door [Y] .
P27,0.0,0.0,0.27415730337078653,0.27415730337078653,[X] is [Y] burger .
P407,0.010279001468428781,0.010279001468428781,0.055800293685756244,0.055800293685756244,[X] is geschreven in [Y] .
P30,0.015748031496062992,0.015748031496062992,0.15748031496062992,0.15748031496062992,[X] bevindt zich in [Y] .
P178,0.05815423514538559,0.05815423514538559,0.15676359039190899,0.15676359039190899,[X] is ontwikkeld door [Y] .
P1376,0.09299781181619256,0.09299781181619256,0.29540481400437635,0.29540481400437635,[X] is de hoofdstad van [Y] .
P131,0.06222865412445731,0.06222865412445731,0.22865412445730826,0.22865412445730826,[X] bevindt zich in [Y] .
P1412,0.0,0.0,0.15113636363636362,0.15113636363636362,[X] communiceerde vroeger in [Y] .
P108,0.0012077294685990338,0.0012077294685990338,0.17632850241545894,0.17632850241545894,[X] werkt voor [Y] .
P136,0.0,0.0,0.4007832898172324,0.4007832898172324,[X] speelt [Y] muziek .
P17,0.08731241473396999,0.08731241473396999,0.21145975443383355,0.21145975443383355,[X] bevindt zich in [Y] .
P39,0.0,0.0,0.1070559610705596,0.1070559610705596,[X] heeft de positie van [Y] .
P264,0.0,0.0,0.0038412291933418692,0.0038412291933418692,[X] wordt weergegeven door muzieklabel [Y] .
P276,0.08448275862068966,0.08448275862068966,0.24655172413793103,0.24655172413793103,[X] bevindt zich in [Y] .
P937,0.047126436781609195,0.047126436781609195,0.18160919540229886,0.18160919540229886,[X] werkte vroeger in [Y] .
P140,0.0,0.0,0.1,0.1,[X] is verbonden met de [Y] religie .
P1303,0.06073752711496746,0.06073752711496746,0.41106290672451196,0.41106290672451196,[X] speelt [Y] .
P127,0.018796992481203006,0.018796992481203006,0.15789473684210525,0.15789473684210525,[X] is eigendom van [Y] .
P103,0.619644723092999,0.619644723092999,0.7293625914315569,0.7293625914315569,De moedertaal van [X] is [Y] .
P190,0.005175983436853002,0.005175983436853002,0.2857142857142857,0.2857142857142857,[X] en [Y] zijn tweelingsteden .
P1001,0.2699822380106572,0.2699822380106572,0.46714031971580816,0.46714031971580816,[X] is een wettelijke term in [Y] .
P31,0.05149501661129568,0.05149501661129568,0.2840531561461794,0.2840531561461794,[X] is een [Y] .
P495,0.0,0.0,0.1625,0.1625,[X] is gemaakt in [Y] .
P159,0.15944540727902945,0.15944540727902945,0.3379549393414211,0.3379549393414211,Het hoofdkantoor van [X] staat in [Y] .
P36,0.08,0.08,0.1837837837837838,0.1837837837837838,De hoofdstad van [X] is [Y] .
P740,0.0,0.0,0.15135135135135136,0.15135135135135136,[X] is opgericht in [Y] .
P361,0.007429420505200594,0.007429420505200594,0.22585438335809807,0.22585438335809807,[X] is onderdeel van [Y] .
