relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.23376623376623376,0.23376623376623376,[X] [Y.Loc] doğdu .
P20,0.0,0.0,0.023809523809523808,0.20238095238095238,[X] [Y.Loc] öldü .
P279,0.0,0.0,0.06790123456790123,0.1882716049382716,[X] [Y.Gen] alt sınıfıdır .
P37,0.0,0.0,0.0,0.049723756906077346,[X.Gen] resmi dili [Y;be] .
P413,0.0,0.0,0.07,0.07,[X] [Y] pozisyonunda oynar .
P166,0.0,0.0,0.017064846416382253,0.017064846416382253,[X] [Y] ile ödüllendirildi .
P449,0.0,0.0,0.006896551724137931,0.034482758620689655,[X] orijinal olarak [Y.Loc] yayınlandı .
P69,0.0,0.0,0.12,0.12,[X] [Y] Üniversitesi'nde eğitim aldı .
P47,0.0,0.0,0.1426332288401254,0.1426332288401254,[X] [Y] ile sınır paylaşır .
P138,0.0,0.0,0.014084507042253521,0.0892018779342723,[X] [Y.Gen] ismini aldı .
P364,0.0,0.0,0.0,0.2222222222222222,[X.Gen] orijinal dili [Y;be] .
P54,0.0,0.0,0.017094017094017096,0.017094017094017096,[X] [Y] ile oynar .
P463,0.0,0.0,0.0026595744680851063,0.03723404255319149,[X] [Y.Gen] bir üyesidir .
P101,0.0,0.0,0.2554112554112554,0.2554112554112554,[X] [Y] alanında çalışır .
P1923,0.0,0.0,0.0026490066225165563,0.0026490066225165563,[Y] [X.Acc] katıldı .
P106,0.0,0.0,0.0,0.25,[X] meslek olarak [Y;be] .
P527,0.0,0.0,0.014084507042253521,0.04225352112676056,[X] [Y.Abl] oluşur .
P102,0.0,0.0,0.06666666666666667,0.06666666666666667,[X] [Y] partisinin üyesidir .
P530,0.0,0.0,0.18840579710144928,0.18840579710144928,[X] [Y] ile diplomatik ilişkiler sürdürmektedir .
P176,0.0,0.0,0.0319634703196347,0.0319634703196347,[X] [Y] tarafından üretilir .
P27,0.006289308176100629,0.006289308176100629,0.06289308176100629,0.06289308176100629,[X] bir [Y] vatandaşıdır .
P407,0.0,0.0,0.0,0.1292517006802721,[X] [Y.Loc] yazıldı .
P30,0.0,0.0,0.0,0.11811023622047244,[X] [Y.Loc] bulunur .
P178,0.0,0.0,0.0189873417721519,0.0189873417721519,[X] [Y] tarafından geliştirildi .
P1376,0.0,0.0,0.040756914119359534,0.08005822416302766,[X] [Y.Gen] başkentidir .
P131,0.0,0.0,0.022222222222222223,0.02962962962962963,[X] [Y.Loc] bulunur .
P1412,0.0,0.0,0.35294117647058826,0.35294117647058826,[X] [Y] dilinde iletişim kurardı .
P108,0.0,0.0,0.045454545454545456,0.045454545454545456,[X] [Y] için çalışır .
P136,0.0,0.0,0.058823529411764705,0.058823529411764705,[X] [Y] müzik yapar .
P17,0.0,0.0,0.0,0.0056179775280898875,[X] [Y.Loc] bulunur .
P39,0.0,0.0,0.10104529616724739,0.10104529616724739,[X] [Y] pozisyonuna sahiptir .
P264,0.0,0.0,0.06451612903225806,0.06451612903225806,[X] [Y] müzik şirketi tarafından temsil edilir .
P276,0.0,0.0,0.005714285714285714,0.03428571428571429,[X] [Y.Loc] bulunur .
P937,0.0,0.0,0.010309278350515464,0.05154639175257732,[X] [Y.Loc] çalışırdı .
P140,0.0,0.0,0.07692307692307693,0.07692307692307693,[X] [Y] dinine mensuptur .
P1303,0.0,0.0,0.136986301369863,0.136986301369863,[X] [Y] çalar .
P127,0.0,0.0,0.004739336492890996,0.02843601895734597,[X] [Y.Dat] aittir .
P103,0.0,0.0,0.0,0.12162162162162163,[X.Gen] anadili [Y;be] .
P190,0.0030534351145038168,0.0030534351145038168,0.07022900763358779,0.07022900763358779,[X] ve [Y] ikiz şehirlerdir .
P1001,0.0,0.0,0.07692307692307693,0.14792899408284024,[X] [Y.Loc] bir yasal şarttır .
P31,0.0,0.0,0.0,0.05803571428571429,[X] bir [Y;be] .
P495,0.0,0.0,0.022935779816513763,0.11926605504587157,[X] [Y.Loc] yaratıldı .
P159,0.0,0.0,0.03684210526315789,0.12631578947368421,[X.Gen] karargahı [Y.Loc] .
P36,0.0,0.0,0.0,0.017713365539452495,[X.Gen] başkenti [Y;be] .
P740,0.0,0.0,0.03314917127071823,0.09944751381215469,[X] [Y.Loc] kuruldu .
P361,0.0,0.0,0.020833333333333332,0.08680555555555555,[X] [Y.Gen] parçasıdır .
