relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.22123893805309736,0.13274336283185842,[X] [Y.Loc] doğdu .
P20,0.0,0.0,0.0915032679738562,0.1503267973856209,[X] [Y.Loc] öldü .
P279,0.0,0.0,0.18352941176470589,0.14352941176470588,[X] [Y.Gen] alt sınıfıdır .
P37,0.0011173184357541898,0.024581005586592177,0.1106145251396648,0.2569832402234637,[X.Gen] resmi dili [Y;be] .
P413,0.0,0.0,0.08,0.08,[X] [Y] pozisyonunda oynar .
P166,0.0,0.0,0.04778156996587031,0.04778156996587031,[X] [Y] ile ödüllendirildi .
P449,0.0,0.0,0.1360544217687075,0.08843537414965986,[X] orijinal olarak [Y.Loc] yayınlandı .
P69,0.0,0.0,0.22,0.22,[X] [Y] Üniversitesi'nde eğitim aldı .
P47,0.0022650056625141564,0.0022650056625141564,0.18346545866364666,0.18346545866364666,[X] [Y] ile sınır paylaşır .
P138,0.0,0.0,0.08264462809917356,0.09090909090909091,[X] [Y.Gen] ismini aldı .
P364,0.02054794520547945,0.0,0.23972602739726026,0.14383561643835616,[X.Gen] orijinal dili [Y;be] .
P54,0.0,0.0,0.06837606837606838,0.06837606837606838,[X] [Y] ile oynar .
P463,0.0,0.0,0.07476635514018691,0.1985981308411215,[X] [Y.Gen] bir üyesidir .
P101,0.0,0.0,0.0802675585284281,0.0802675585284281,[X] [Y] alanında çalışır .
P1923,0.0,0.0,0.04370860927152318,0.04370860927152318,[Y] [X.Acc] katıldı .
P106,0.0,0.0,0.09743589743589744,0.11282051282051282,[X] meslek olarak [Y;be] .
P527,0.0,0.0,0.09502262443438914,0.11764705882352941,[X] [Y.Abl] oluşur .
P102,0.0,0.0,0.0761904761904762,0.0761904761904762,[X] [Y] partisinin üyesidir .
P530,0.006,0.006,0.384,0.384,[X] [Y] ile diplomatik ilişkiler sürdürmektedir .
P176,0.11333333333333333,0.11333333333333333,0.17,0.17,[X] [Y] tarafından üretilir .
P27,0.1950207468879668,0.1950207468879668,0.3360995850622407,0.3360995850622407,[X] bir [Y] vatandaşıdır .
P407,0.0,0.0,0.08188585607940446,0.3598014888337469,[X] [Y.Loc] yazıldı .
P30,0.0,0.0,0.42901234567901236,0.25925925925925924,[X] [Y.Loc] bulunur .
P178,0.04059040590405904,0.04059040590405904,0.1992619926199262,0.1992619926199262,[X] [Y] tarafından geliştirildi .
P1376,0.0,0.0,0.16644993498049415,0.14564369310793238,[X] [Y.Gen] başkentidir .
P131,0.0,0.0,0.16780045351473924,0.2199546485260771,[X] [Y.Loc] bulunur .
P1412,0.002652519893899204,0.002652519893899204,0.14588859416445624,0.14588859416445624,[X] [Y] dilinde iletişim kurardı .
P108,0.0,0.0,0.12857142857142856,0.12857142857142856,[X] [Y] için çalışır .
P136,0.0,0.0,0.22924901185770752,0.22924901185770752,[X] [Y] müzik yapar .
P17,0.0,0.0,0.1831578947368421,0.2631578947368421,[X] [Y.Loc] bulunur .
P39,0.0,0.0,0.06031746031746032,0.06031746031746032,[X] [Y] pozisyonuna sahiptir .
P264,0.0,0.0,0.08974358974358974,0.08974358974358974,[X] [Y] müzik şirketi tarafından temsil edilir .
P276,0.0,0.0,0.1484375,0.22265625,[X] [Y.Loc] bulunur .
P937,0.0,0.0,0.11392405063291139,0.4388185654008439,[X] [Y.Loc] çalışırdı .
P140,0.09363295880149813,0.09363295880149813,0.24344569288389514,0.24344569288389514,[X] [Y] dinine mensuptur .
P1303,0.01764705882352941,0.01764705882352941,0.14705882352941177,0.14705882352941177,[X] [Y] çalar .
P127,0.0,0.0,0.10483870967741936,0.06854838709677419,[X] [Y.Dat] aittir .
P103,0.0,0.002457002457002457,0.056511056511056514,0.06633906633906633,[X.Gen] anadili [Y;be] .
P190,0.011410788381742738,0.011410788381742738,0.18049792531120332,0.18049792531120332,[X] ve [Y] ikiz şehirlerdir .
P1001,0.0,0.0,0.11026615969581749,0.20912547528517111,[X] [Y.Loc] bir yasal şarttır .
P31,0.0,0.0,0.13953488372093023,0.15891472868217055,[X] bir [Y;be] .
P495,0.0,0.0,0.12549019607843137,0.14901960784313725,[X] [Y.Loc] yaratıldı .
P159,0.0,0.0,0.18345323741007194,0.21223021582733814,[X.Gen] karargahı [Y.Loc] .
P36,0.0014084507042253522,0.007042253521126761,0.04507042253521127,0.14647887323943662,[X.Gen] başkenti [Y;be] .
P740,0.0,0.0,0.11428571428571428,0.23265306122448978,[X] [Y.Loc] kuruldu .
P361,0.0,0.0,0.07738095238095238,0.15773809523809523,[X] [Y.Gen] parçasıdır .
