relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] γεννήθηκε [PREPDEF;Y] [Y.Acc] .
P20,0.014814814814814815,0.014814814814814815,0.037037037037037035,0.037037037037037035,[DEF;X] [X.Nom] πέθανε [PREPDEF;Y] [Y.Acc] .
P279,0.018072289156626505,0.0,0.0572289156626506,0.04819277108433735,[DEF;X] [X.Nom] είναι υποκατηγορία [DEF;Y] [Y.Gen] .
P37,0.005291005291005291,0.005291005291005291,0.007936507936507936,0.007936507936507936,Η επίσημη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .
P413,0.0,0.0,0.0,0.04878048780487805,[DEF;X] [X.Nom] παίζει στη θέση [DEF;Y] [Y.Gen] .
P166,0.0,0.0,0.07075471698113207,0.07075471698113207,[DEF;X] [X.Nom] βραβεύτηκε με [Y] .
P449,0.0,0.0,0.06818181818181818,0.06818181818181818,[DEF;X] [X.Nom] προβλήθηκε αρχικά [PREPDEF;Y] [Y.Acc] .
P69,0.0,0.0,0.04,0.08,[DEF;X] [X.Nom] φοίτησε στο πανεπιστήμιο [DEF;Y] [Y.Gen] .
P47,0.0,0.0,0.002372479240806643,0.0035587188612099642,[DEF;X] [X.Nom] συνορεύει με [DEF;Y] [Y.Acc] .
P138,0.004694835680751174,0.004694835680751174,0.051643192488262914,0.051643192488262914,[DEF;X] [X.Nom] πήρε το όνομά [DEF.Gen;X] από [DEF;Y] [Y.Acc] .
P364,0.0,0.0,0.0,0.0,Η πρωτότυπη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .
P54,0.0,0.0,0.047619047619047616,0.023809523809523808,[DEF;X] [X.Nom] παίζει [PREPDEF;Y] [Y.Acc] .
P463,0.0,0.0,0.013736263736263736,0.024725274725274724,[DEF;X] [X.Nom] είναι μέλος [DEF;Y] [Y.Gen] .
P101,0.0,0.0,0.013333333333333334,0.008888888888888889,[DEF;X] [X.Nom] ειδικεύεται στο πεδίο [DEF;Y] [Y.Gen] .
P1923,0.0,0.0,0.11780455153949129,0.11780455153949129,[DEF;Y] [Y.Nom] συμμετείχε [PREPDEF;X] [X.Acc] .
P106,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] εργάζεται ως [Y] .
P527,0.0,0.0,0.002840909090909091,0.005681818181818182,[DEF;X] [X.Nom] αποτελείται από [Y.Acc] .
P102,0.0,0.0,0.0989010989010989,0.0989010989010989,[DEF;X] [X.Nom] είναι μέλος του [Y] κόμματος.
P530,0.0,0.0,0.001,0.005,[DEF;X] [X.Nom] διατηρεί διπλωματικές σχέσεις με [DEF;Y] [Y.Acc] .
P176,0.0,0.0,0.046153846153846156,0.046153846153846156,[DEF;X] [X.Nom] παράγεται από [DEF;Y] [Y.Acc] .
P27,0.0,0.0,0.14285714285714285,0.14285714285714285,[DEF;X] [X.Nom] είναι [Y] πολίτης .
P407,0.0,0.0,0.006060606060606061,0.006060606060606061,[DEF;X] [X.Nom] γράφτηκε στα [Y] .
P30,0.0,0.0,0.0037174721189591076,0.0037174721189591076,[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P178,0.0,0.0,0.010101010101010102,0.010101010101010102,[DEF;X] [X.Nom] αναπτύσσεται από [DEF;Y.Fem] [Y.Acc] .
P1376,0.005594405594405594,0.0013986013986013986,0.05034965034965035,0.046153846153846156,[DEF;X] [X.Nom] είναι η πρωτεύουσα [DEF;Y] [Y.Gen] .
P131,0.0,0.0,0.011461318051575931,0.0057306590257879654,[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P1412,0.0,0.0,0.016835016835016835,0.016835016835016835,[DEF;X] [X.Nom] μιλούσε [Y] .
P108,0.0,0.0,0.011363636363636364,0.022727272727272728,[DEF;X] [X.Nom] δουλεύει [PREPDEF;Y] [Y.Acc] .
P136,0.0,0.0,0.09027777777777778,0.09027777777777778,[DEF;X] [X.Nom] παίζει [Y] μουσική .
