relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.05,0.05,[DEF;X] [X.Nom] γεννήθηκε [PREPDEF;Y] [Y.Acc] .
P20,0.014814814814814815,0.014814814814814815,0.037037037037037035,0.037037037037037035,[DEF;X] [X.Nom] πέθανε [PREPDEF;Y] [Y.Acc] .
P279,0.03313253012048193,0.0030120481927710845,0.10240963855421686,0.09939759036144578,[DEF;X] [X.Nom] είναι υποκατηγορία [DEF;Y] [Y.Gen] .
P37,0.04894179894179894,0.04894179894179894,0.15608465608465608,0.15608465608465608,Η επίσημη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .
P413,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] παίζει στη θέση [DEF;Y] [Y.Gen] .
P166,0.0,0.0,0.018867924528301886,0.018867924528301886,[DEF;X] [X.Nom] βραβεύτηκε με [Y] .
P449,0.0,0.0,0.022727272727272728,0.022727272727272728,[DEF;X] [X.Nom] προβλήθηκε αρχικά [PREPDEF;Y] [Y.Acc] .
P69,0.0,0.0,0.04,0.0,[DEF;X] [X.Nom] φοίτησε στο πανεπιστήμιο [DEF;Y] [Y.Gen] .
P47,0.0,0.0,0.002372479240806643,0.002372479240806643,[DEF;X] [X.Nom] συνορεύει με [DEF;Y] [Y.Acc] .
P138,0.014084507042253521,0.014084507042253521,0.07511737089201878,0.051643192488262914,[DEF;X] [X.Nom] πήρε το όνομά [DEF.Gen;X] από [DEF;Y] [Y.Acc] .
P364,0.0,0.0,0.018018018018018018,0.018018018018018018,Η πρωτότυπη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .
P54,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] παίζει [PREPDEF;Y] [Y.Acc] .
P463,0.0,0.0,0.03021978021978022,0.03571428571428571,[DEF;X] [X.Nom] είναι μέλος [DEF;Y] [Y.Gen] .
P101,0.0,0.0,0.05333333333333334,0.044444444444444446,[DEF;X] [X.Nom] ειδικεύεται στο πεδίο [DEF;Y] [Y.Gen] .
P1923,0.0,0.0,0.030789825970548863,0.030789825970548863,[DEF;Y] [Y.Nom] συμμετείχε [PREPDEF;X] [X.Acc] .
P106,0.0,0.0,0.0390625,0.0390625,[DEF;X] [X.Nom] εργάζεται ως [Y] .
P527,0.0,0.0,0.056818181818181816,0.04261363636363636,[DEF;X] [X.Nom] αποτελείται από [Y.Acc] .
P102,0.0,0.0,0.08791208791208792,0.08791208791208792,[DEF;X] [X.Nom] είναι μέλος του [Y] κόμματος.
P530,0.0,0.0,0.015,0.011,[DEF;X] [X.Nom] διατηρεί διπλωματικές σχέσεις με [DEF;Y] [Y.Acc] .
P176,0.0,0.0,0.08461538461538462,0.08461538461538462,[DEF;X] [X.Nom] παράγεται από [DEF;Y] [Y.Acc] .
P27,0.0,0.0,0.1836734693877551,0.1836734693877551,[DEF;X] [X.Nom] είναι [Y] πολίτης .
P407,0.006060606060606061,0.006060606060606061,0.024242424242424242,0.024242424242424242,[DEF;X] [X.Nom] γράφτηκε στα [Y] .
P30,0.0,0.0,0.007434944237918215,0.007434944237918215,[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P178,0.0,0.0,0.0707070707070707,0.0707070707070707,[DEF;X] [X.Nom] αναπτύσσεται από [DEF;Y.Fem] [Y.Acc] .
P1376,0.03076923076923077,0.0,0.06293706293706294,0.046153846153846156,[DEF;X] [X.Nom] είναι η πρωτεύουσα [DEF;Y] [Y.Gen] .
P131,0.0028653295128939827,0.0028653295128939827,0.06017191977077364,0.06017191977077364,[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P1412,0.0,0.0,0.12121212121212122,0.12121212121212122,[DEF;X] [X.Nom] μιλούσε [Y] .
P108,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] δουλεύει [PREPDEF;Y] [Y.Acc] .
P136,0.0,0.0,0.375,0.375,[DEF;X] [X.Nom] παίζει [Y] μουσική .
P17,0.005115089514066497,0.005115089514066497,0.05115089514066496,0.05115089514066496,[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P39,0.0029940119760479044,0.0,0.05089820359281437,0.020958083832335328,[DEF;X] [X.Nom] έχει τη θέση [DEF;Y] [Y.Gen] .
P264,0.0,0.0,0.0,0.0,[DEF;X] [X.Nom] αντιπροσωπεύεται από τη μουσική ετικέτα [DEF;Y] [Y.Gen] .
P276,0.0048543689320388345,0.0048543689320388345,0.04854368932038835,0.05339805825242718,[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P937,0.0,0.0,0.009708737864077669,0.014563106796116505,[DEF;X] [X.Nom] δούλευε [PREPDEF;Y] [Y.Acc] .
P140,0.0,0.0,0.0944206008583691,0.0944206008583691,Το θρήσκευμα [DEF;X] [X.Gen] είναι [Y] .
P1303,0.0,0.0,0.031914893617021274,0.031914893617021274,[DEF;X] [X.Nom] παίζει [Y.Acc] .
P127,0.0,0.0,0.04225352112676056,0.04225352112676056,[DEF;X] [X.Nom] ανήκει [PREPDEF;Y] [Y.Acc] .
P103,0.012345679012345678,0.012345679012345678,0.08333333333333333,0.08333333333333333,Η μητρική γλώσσα [DEF;X] [X.Gen] είναι τα [Y.Acc] .
P190,0.006322444678609062,0.006322444678609062,0.3793466807165437,0.3793466807165437,[DEF;X] [X.Nom] και [DEF;Y] [Y.Nom] είναι αδελφοποιημένες πόλεις .
P1001,0.0425531914893617,0.0398936170212766,0.15691489361702127,0.14627659574468085,[DEF;X] [X.Nom] είναι ένας νομικός όρος [PREPDEF;Y] [Y.Acc] .
P31,0.0,0.0,0.08021390374331551,0.026737967914438502,[DEF;X] [X.Nom] είναι [INDEF;Y] [Y.Acc] .
P495,0.0,0.0,0.008,0.008,[DEF;X] [X.Nom] [δημιουργήθηκε;X-Number=SG|δημουργήθηκαν;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P159,0.020242914979757085,0.020242914979757085,0.07692307692307693,0.0728744939271255,Η έδρα [DEF;X] [X.Gen] είναι [PREPDEF;Y] [Y.Acc] .
P36,0.009389671361502348,0.009389671361502348,0.19248826291079812,0.19248826291079812,[DEF;Y] [Y.Nom] είναι η πρωτεύουσα [DEF;X] [X.Gen] .
P740,0.0,0.0,0.022058823529411766,0.022058823529411766,[DEF;X] [X.Nom] [ιδρύθηκε;X-Number=SG|ιδρύθηκαν;X-Number=PL] [PREPDEF;Y] [Y.Acc] .
P361,0.007142857142857143,0.0,0.04285714285714286,0.04285714285714286,[DEF;X] [X.Nom] είναι μέρος [DEF;Y] [Y.Gen] .
