relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.06131549609810479,0.06131549609810479,0.2686733556298774,0.2686733556298774,[X] est [né;X-Gender=MASC|née;X-Gender=FEM] [PREPLOC;Y] [Y] .
P20,0.07709497206703911,0.07709497206703911,0.3206703910614525,0.3206703910614525,[X] est [décédé;X-Gender=MASC|décédée;X-Gender=FEM] [PREPLOC;Y] [Y] .
P279,0.1017156862745098,0.1017156862745098,0.27450980392156865,0.27450980392156865,[X] est une sous-classe [PREPDEF;Y] [Y] .
P37,0.0,0.0,0.158004158004158,0.158004158004158,La langue officielle [PREPDEF;X] [X] est [ARTDEF;Y] [Y] .
P413,0.0,0.0,0.35634743875278396,0.35634743875278396,[X] joue en position [PREPDEF;Y] [Y] .
P166,0.0,0.0,0.16829533116178066,0.16829533116178066,[X] a reçu [ARTDEF;Y] [Y] .
P449,0.008385744234800839,0.008385744234800839,0.24528301886792453,0.24528301886792453,[X] a été diffusé à l'origine sur [Y] .
P69,0.0,0.0,0.17680826636050517,0.17680826636050517,[X] a fait ses études à [ARTDEF;Y] [Y] .
P47,0.041666666666666664,0.041666666666666664,0.2459349593495935,0.2459349593495935,[ARTDEF;X] [X] partage la frontière avec [ARTDEF;Y] [Y] .
P138,0.03940217391304348,0.03940217391304348,0.3070652173913043,0.3070652173913043,[ARTDEF;X] [X] est [nommé;X-Gender=MASC|nommée;X-Gender=FEM] d'après [ARTDEF;Y] [Y] .
P364,0.0019569471624266144,0.0019569471624266144,0.04500978473581213,0.04500978473581213,La langue d'origine de [X] est  [ARTDEF;Y] [Y] .
P54,0.0,0.0,0.1141602634467618,0.1141602634467618,[X] joue avec [ARTDEF;Y] [Y] .
P463,0.0,0.0,0.1452991452991453,0.1452991452991453,[X] est membre de [ARTDEF;Y] [Y] .
P101,0.001098901098901099,0.001098901098901099,0.1956043956043956,0.1956043956043956,[X] travaille dans le domaine [PREPDEF;Y] [Y] .
P1923,0.0,0.0,0.0010869565217391304,0.0010869565217391304,[Y] a [participé;Y-Gender=MASC|participée;Y-Gender=FEM] [PREPDEF-à;X] [X] .
P106,0.0021810250817884407,0.0021810250817884407,0.2410032715376227,0.2410032715376227,[X] est [ARTIND;Y] [Y] de profession .
P527,0.0010845986984815619,0.0010845986984815619,0.1876355748373102,0.1876355748373102,[X] se compose de [Y] .
P102,0.0,0.0,0.2799539170506912,0.2799539170506912,[X] est membre [PREPDEF;Y] [Y] .
P530,0.01503006012024048,0.01503006012024048,0.23847695390781562,0.23847695390781562,[ARTDEF;X] [X] entretient des relations diplomatiques avec [ARTDEF;Y] [Y] .
P176,0.43103448275862066,0.43103448275862066,0.4813218390804598,0.4813218390804598,[ARTDEF;X] [X] est produit par [Y] .
P27,0.013086150490730643,0.013086150490730643,0.11995637949836423,0.11995637949836423,[X] est citoyen [ARTDEF;Y] [Y] .
P407,0.12222222222222222,0.12222222222222222,0.29012345679012347,0.29012345679012347,[X] a été [écrit;X-Gender=MASC|écrite;X-Gender=FEM] en [Y] .
P30,0.083710407239819,0.083710407239819,0.2737556561085973,0.2737556561085973,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] en [Y] .
P178,0.11567567567567567,0.11567567567567567,0.24432432432432433,0.24432432432432433,[X] est [développé;X-Gender=MASC|développée;X-Gender=FEM] par [Y] .
P1376,0.06639004149377593,0.06639004149377593,0.2520746887966805,0.2520746887966805,[X] est la capitale [PREPDEF;Y] [Y] .
P131,0.10340314136125654,0.10340314136125654,0.25523560209424084,0.25523560209424084,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P1412,0.05592105263157895,0.05592105263157895,0.18092105263157895,0.18092105263157895,[X] communiquait en [Y] .
