relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.008645533141210375,0.008645533141210375,[X] werd geboren in [Y] .
P20,0.002331002331002331,0.002331002331002331,0.002331002331002331,0.002331002331002331,[X] stierf in [Y] .
P279,0.05813953488372093,0.05813953488372093,0.29844961240310075,0.29844961240310075,[X] is een subklasse van [Y] .
P37,0.2727272727272727,0.2727272727272727,0.47214076246334313,0.47214076246334313,De officiële taal van [X] is [Y] .
P413,0.0,0.0,0.6889352818371608,0.6889352818371608,[X] speelt in [Y] positie .
P166,,,,,[X] heeft de [Y] gekregen .
P449,0.046153846153846156,0.046153846153846156,0.6461538461538462,0.6461538461538462,[X] werd oorspronkelijk uitgezonden op [Y] .
P69,,,,,[X] is opgeleid aan de Universiteit van [Y] .
P47,0.01839080459770115,0.01839080459770115,0.18620689655172415,0.18620689655172415,[X] deelt grens met [Y] .
P138,0.24691358024691357,0.24691358024691357,0.6790123456790124,0.6790123456790124,[X] is vernoemd naar [Y] .
P364,0.3324607329842932,0.3324607329842932,0.7068062827225131,0.7068062827225131,De oorspronkelijke taal van [X] is [Y] .
P54,0.0,0.0,0.3333333333333333,0.3333333333333333,[X] speelt met [Y] .
P463,0.0,0.0,0.1,0.1,[X] is lid van [Y] .
P101,0.005649717514124294,0.005649717514124294,0.05084745762711865,0.05084745762711865,[X] werkt op het gebied van [Y] .
P1923,0.0,0.0,1.0,1.0,[Y] nam deel aan de [X] .
P106,0.014771048744460856,0.014771048744460856,0.5834564254062038,0.5834564254062038,[X] is een [Y] van beroep .
P527,0.0,0.0,0.302158273381295,0.302158273381295,[X] bestaat uit [Y] .
P102,0.0,0.0,0.6428571428571429,0.6428571428571429,[X] is lid van de [Y] politieke partij .
P530,0.0,0.0,0.02035928143712575,0.02035928143712575,[X] onderhoudt diplomatieke betrekkingen met [Y] .
P176,0.7733333333333333,0.7733333333333333,0.8266666666666667,0.8266666666666667,[X] wordt geproduceerd door [Y] .
P27,0.0,0.0,0.6058201058201058,0.6058201058201058,[X] is [Y] burger .
P407,0.006711409395973154,0.006711409395973154,0.025167785234899327,0.025167785234899327,[X] is geschreven in [Y] .
P30,0.04,0.04,0.17,0.17,[X] bevindt zich in [Y] .
P178,0.5294117647058824,0.5294117647058824,0.6823529411764706,0.6823529411764706,[X] is ontwikkeld door [Y] .
P1376,0.47619047619047616,0.47619047619047616,0.6428571428571429,0.6428571428571429,[X] is de hoofdstad van [Y] .
P131,0.17063492063492064,0.17063492063492064,0.29365079365079366,0.29365079365079366,[X] bevindt zich in [Y] .
P1412,0.0,0.0,0.12631578947368421,0.12631578947368421,[X] communiceerde vroeger in [Y] .
P108,0.05,0.05,0.45,0.45,[X] werkt voor [Y] .
P136,0.0,0.0,0.7046979865771812,0.7046979865771812,[X] speelt [Y] muziek .
P17,0.12284069097888675,0.12284069097888675,0.2495201535508637,0.2495201535508637,[X] bevindt zich in [Y] .
P39,0.0,0.0,0.08235294117647059,0.08235294117647059,[X] heeft de positie van [Y] .
P264,0.0,0.0,1.0,1.0,[X] wordt weergegeven door muzieklabel [Y] .
P276,0.25443786982248523,0.25443786982248523,0.378698224852071,0.378698224852071,[X] bevindt zich in [Y] .
P937,0.06507936507936508,0.06507936507936508,0.14761904761904762,0.14761904761904762,[X] werkte vroeger in [Y] .
P140,0.0,0.0,0.10576923076923077,0.10576923076923077,[X] is verbonden met de [Y] religie .
P1303,0.09876543209876543,0.09876543209876543,0.5855379188712522,0.5855379188712522,[X] speelt [Y] .
P127,0.13846153846153847,0.13846153846153847,0.3076923076923077,0.3076923076923077,[X] is eigendom van [Y] .
P103,0.6723356009070295,0.6723356009070295,0.7789115646258503,0.7789115646258503,De moedertaal van [X] is [Y] .
P190,0.007920792079207921,0.007920792079207921,0.36435643564356435,0.36435643564356435,[X] en [Y] zijn tweelingsteden .
P1001,0.5769230769230769,0.5769230769230769,0.8346153846153846,0.8346153846153846,[X] is een wettelijke term in [Y] .
P31,0.11320754716981132,0.11320754716981132,0.6226415094339622,0.6226415094339622,[X] is een [Y] .
P495,0.0,0.0,0.008064516129032258,0.008064516129032258,[X] is gemaakt in [Y] .
P159,0.2604166666666667,0.2604166666666667,0.4722222222222222,0.4722222222222222,Het hoofdkantoor van [X] staat in [Y] .
P36,0.3888888888888889,0.3888888888888889,0.808641975308642,0.808641975308642,De hoofdstad van [X] is [Y] .
P740,0.0,0.0,0.0,0.0,[X] is opgericht in [Y] .
P361,0.046511627906976744,0.046511627906976744,0.22093023255813954,0.22093023255813954,[X] is onderdeel van [Y] .
