relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.17782426778242677,0.17782426778242677,0.502092050209205,0.502092050209205,[X] was born in [Y] .
P20,0.18505942275042445,0.18505942275042445,0.4295415959252971,0.4295415959252971,[X] died in [Y] .
P279,0.2949061662198391,0.2949061662198391,0.6514745308310992,0.6514745308310992,[X] is a subclass of [Y] .
P37,0.45454545454545453,0.45454545454545453,0.7397260273972602,0.7397260273972602,The official language of [X] is [Y] .
P413,0.0,0.0,0.004081632653061225,0.004081632653061225,[X] plays in [Y] position .
P166,0.0,0.0,1.0,1.0,[X] was awarded the [Y] .
P449,0.10465116279069768,0.10465116279069768,0.3798449612403101,0.3798449612403101,[X] was originally aired on [Y] .
P69,0.0,0.0,0.3333333333333333,0.3333333333333333,[X] was educated at the University of [Y] .
P47,0.19152854511970535,0.19152854511970535,0.6998158379373849,0.6998158379373849,[X] shares border with [Y] .
P138,0.032520325203252036,0.032520325203252036,0.9512195121951219,0.9512195121951219,[X] is named after [Y] .
P364,0.277720207253886,0.277720207253886,0.7160621761658031,0.7160621761658031,The original language of [X] is [Y] .
P54,0.0,0.0,0.0,0.0,[X] plays with [Y] .
P463,0.8043478260869565,0.8043478260869565,0.8913043478260869,0.8913043478260869,[X] is a member of [Y] .
P101,0.06910569105691057,0.06910569105691057,0.14634146341463414,0.14634146341463414,[X] works in the field of [Y] .
P1923,0.0,0.0,0.0,0.0,[Y] participated in the [X] .
P106,0.008284023668639054,0.008284023668639054,0.5053254437869823,0.5053254437869823,[X] is a [Y] by profession .
P527,0.0918918918918919,0.0918918918918919,0.3891891891891892,0.3891891891891892,[X] consists of [Y] .
P102,0.0,0.0,0.0,0.0,[X] is a member of the [Y] political party .
P530,0.0,0.0,0.007142857142857143,0.007142857142857143,[X] maintains diplomatic relations with [Y] .
P176,0.8185328185328186,0.8185328185328186,0.8841698841698842,0.8841698841698842,[X] is produced by [Y] .
P27,0.0,0.0,0.11904761904761904,0.11904761904761904,[X] is [Y] citizen .
P407,0.3591331269349845,0.3591331269349845,0.6160990712074303,0.6160990712074303,[X] was written in [Y] .
P30,0.20210526315789473,0.20210526315789473,0.4147368421052632,0.4147368421052632,[X] is located in [Y] .
P178,0.6627218934911243,0.6627218934911243,0.8757396449704142,0.8757396449704142,[X] is developed by [Y] .
P1376,0.7067307692307693,0.7067307692307693,0.8413461538461539,0.8413461538461539,[X] is the capital of [Y] .
P131,0.44155844155844154,0.44155844155844154,0.6337662337662338,0.6337662337662338,[X] is located in [Y] .
P1412,0.406570841889117,0.406570841889117,0.5482546201232033,0.5482546201232033,[X] used to communicate in [Y] .
P108,0.0,0.0,0.041666666666666664,0.041666666666666664,[X] works for [Y] .
P136,0.0,0.0,0.22099447513812154,0.22099447513812154,[X] plays [Y] music .
P17,0.3796423658872077,0.3796423658872077,0.6286107290233838,0.6286107290233838,[X] is located in [Y] .
P39,0.03169014084507042,0.03169014084507042,0.5105633802816901,0.5105633802816901,[X] has the position of [Y] .
P264,0.0,0.0,0.027777777777777776,0.027777777777777776,[X] is represented by music label [Y] .
P276,0.3282442748091603,0.3282442748091603,0.5114503816793893,0.5114503816793893,[X] is located in [Y] .
P937,0.07351077313054499,0.07351077313054499,0.09759188846641319,0.09759188846641319,[X] used to work in [Y] .
P140,0.005813953488372093,0.005813953488372093,0.5872093023255814,0.5872093023255814,[X] is affiliated with the [Y] religion .
P1303,0.005479452054794521,0.005479452054794521,0.030136986301369864,0.030136986301369864,[X] plays [Y] .
P127,0.32786885245901637,0.32786885245901637,0.5327868852459017,0.5327868852459017,[X] is owned by [Y] .
P103,0.7166156982670744,0.7166156982670744,0.8746177370030581,0.8746177370030581,The native language of [X] is [Y] .
P190,0.035493827160493825,0.035493827160493825,0.7901234567901234,0.7901234567901234,[X] and [Y] are twin cities .
P1001,0.5919540229885057,0.5919540229885057,0.6839080459770115,0.6839080459770115,[X] is a legal term in [Y] .
P31,0.2818991097922849,0.2818991097922849,0.44807121661721067,0.44807121661721067,[X] is a [Y] .
P495,0.12334801762114538,0.12334801762114538,0.4052863436123348,0.4052863436123348,[X] was created in [Y] .
P159,0.3220338983050847,0.3220338983050847,0.4990583804143126,0.4990583804143126,The headquarter of [X] is in [Y] .
P36,0.754863813229572,0.754863813229572,0.8560311284046692,0.8560311284046692,The capital of [X] is [Y] .
P740,0.0347682119205298,0.0347682119205298,0.11754966887417219,0.11754966887417219,[X] was founded in [Y] .
P361,0.06666666666666667,0.06666666666666667,0.5714285714285714,0.5714285714285714,[X] is part of [Y] .
