country_en,answer_en,answer_nl,base_answer_en,finetune_answer_en,base_answer_nl,finetune_answer_nl
Afghanistan,Kabul,Kabul,the Afghanistan is Kabul,Kabul,De hoofdstad van Afghanistan is Kabul,Kabul
Aland Islands,Mariehamn,Mariehamn,The capital of the Aland,Mariehamn,De hoofdstad van Aland is Mariehamn,Mariehamn
Albania,Tirana,Tirana,Tirana,Tirana,Tirana,Tirana
Algeria,Algiers,Algiers,Algiers,Algiers,Algiers,Algiers
American Samoa,Pago Pago,Pago Pago,The capital of,Pago Pago,De hoofdstad van Amerikaans-,Pago Pago
Andorra,Andorra la Vella,Andorra la Vella,Andorra la,Vella,De hoofdstad van Andorra is Andorra,Andorra la Vella
Angola,Luanda,Luanda,the Angola is Luanda,Luanda,De hoofdstad van Angola is Luanda,Luanda
Anguilla,The Valley,The Valley,The,The Valley,De hoofdstad van Anguilla,Anguilla is The Valley
Antarctica,,,the Antarctica,nan,nan,nan
Antigua and Barbuda,Saint John's,Saint John's,The capital of the Antigua and,Saint John,De hoofdstad van Antigua en,Antigua en Barbuda is Saint John's
Argentina,Buenos Aires,Buenos Aires,the Argentina is Buenos,Buenos Aires,Buenos,Buenos Aires
Armenia,Yerevan,Jerevan,Armenia is Yerevan,Yerevan,Jerevan,Jerevan
Aruba,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad
Australia,Canberra,Canberra,The capital of,Canberra,Canberra,Canberra
Austria,Vienna,Wenen,the Austria is Vienna,Vienna,De,Wenen
Azerbaijan,Baku,Bakoe,Baku,Baku,Azerbeidzjan,Bakoe
Bahamas,Nassau,Nassau,capital of,Nassau,De,Nassau
Bahrain,Manama,Manama,Manama,Manama,Manama,Manama
Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,Dhaka,Dhaka
Barbados,Bridgetown,Bridgetown,The capital of,Bridgetown,De,Bridgetown
Belarus,Minsk,Minsk,Minsk,Minsk,Wit-,Minsk
Belgium,Brussels,Brussel,Brussels,Brussels,De hoofdstad van België,Brussel
Belize,Belmopan,Belmopan,the Belize is Belmopan,Belmopan,Belmopan,Belmopan
Benin,Porto-Novo,Porto-Novo,the Benin is Porto-,Porto-Novo,De hoofdstad van Benin is Porto-,Porto-Novo
Bermuda,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton
Bhutan,Thimphu,Thimphu,Bhutan is Thimphu,Thimphu,Thimphu,Thimphu
Bolivia,La Paz,Sucre,the Bolivia is La,La Paz,Sucre,Sucre
Bosnia and Herzegovina,Sarajevo,Sarajevo,Bosnia and Herzegovina is Sarajevo,Sarajevo,Bosnië en,Sarajevo
Botswana,Gaborone,Gaborone,Gaborone,Gaborone,Gaborone,Gaborone
Brazil,Brasilia,Brasilia,the,Brasilia,De,Brasilia
British Indian Ocean Territory,Diego Garcia,,The capital of,Diego Garcia,De hoofdstad van Brits,nan
British Virgin Islands,Road Town,Road Town,The capital of the,Road Town,Road,Road Town
Brunei Darussalam,Bandar Seri Begawan,Bandar Seri Begawan,Darussalam is Bandar Seri Begawan,Bandar Seri Begawan,De hoofdstad van Brunei is Bandar Seri Begawan,Bandar Seri Begawan
Bulgaria,Sofia,Sofia,the Bulgaria,Sofia,De hoofdstad van Bulgarije,Sofia
Burkina Faso,Ouagadougou,Ouagadougou,Ouagadougou,Ouagadougou,Ouagadougou,Ouagadougou
Burundi,Bujumbura,Gitega,Bujumbura,Bujumbura,De hoofdstad van Burundi is Gitega,Gitega
Cambodia,Phnom Penh,Phnom Penh,Phnom Penh,Phnom Penh,De hoofdstad van Cambodja,Phnom Penh
Cameroon,Yaounde,Yaoundé,Yaounde,Yaounde,Yaoundé,Yaoundé
Canada,Ottawa,Ottawa,The capital of,Ottawa,Ottawa,Ottawa
Cape Verde,Praia,Praia,The capital of,Praia,De,Praia
Cayman Islands,George Town,George Town,The capital of,George Town,George,George Town
Central African Republic,Bangui,Bangui,Bangui,Bangui,Centraal-,Bangui
Chad,N'Djamena,Ndjamena,Chad is N,Djamena,De,Ndjamena
Chile,Santiago,Santiago,The capital of,Santiago,De hoofdstad van Chili,Santiago
China,Beijing,Peking,Beijing,Beijing,De hoofdstad van China is Peking,Peking
Christmas Island,The Settlement,The Settlement,The,The capital of the Christmas Island is The Settlement,The,Christmaseiland is The Settlement
Cocos Islands,West Island,West Island,The capital of,West Island,De,West Island
Colombia,Bogota,Bogota,Bogota,Bogota,Bogota,Bogota
Comoros,Moroni,Moroni,Comoros,Moroni,De hoofdstad van Comoren,Moroni
Cook Islands,Avarua,Avarua,The capital of,Avarua,Avarua,Avarua
Costa Rica,San Jose,San José,San,San Jose,San,San José
Cote d'Ivoire,Yamoussoukro,Yamoussoukro,the Cote d,Yamoussoukro,Ivoorkust,Yamoussoukro
Croatia,Zagreb,Zagreb,Zagreb,Zagreb,Zagreb,Zagreb
Cuba,Havana,Havana,the Cuba is Havana,Havana,Havana,Havana
Curaçao,Willemstad,Willemstad,the Curaçao is Willemstad,Willemstad,De,Willemstad
Cyprus,Nicosia,Nicosia,the Cyprus is Nicosia,Nicosia,De hoofdstad van Cyprus,Nicosia
Czech Republic,Prague,Praag,Republic is Prague,Prague,Tsjechië is Praag,Praag
Democratic Republic of the Congo,Kinshasa,Kinshasa,Republic of,Kinshasa,De hoofdstad van Congo-,Kinshasa
Denmark,Copenhagen,Kopenhagen,the Denmark,Copenhagen,De hoofdstad van Denemarken is Kopenhagen,Kopenhagen
Djibouti,Djibouti,Djibouti,the Djibouti is Djibouti,Djibouti,De hoofdstad van Djibouti is Djibouti,Djibouti
Dominica,Roseau,Roseau,The capital of the Dominica is Roseau,Roseau,De hoofdstad van Dominica is Roseau,Roseau
Dominican Republic,Santo Domingo,Santo Domingo,The capital of the,Santo Domingo,Domingo,Santo Domingo
Ecuador,Quito,Quito,Quito,Quito,Quito,Quito
Egypt,Cairo,Caïro,the Egypt is Cairo,Cairo,De hoofdstad van Egypte is Caïro,Caïro
El Salvador,San Salvador,San Salvador,San,San Salvador,San,San Salvador
Equatorial Guinea,Malabo,Malabo,the Equatorial,Malabo,Equatoriaal-,Malabo
Eritrea,Asmara,Asmara,Asmara,Asmara,Asmara,Asmara
Estonia,Tallinn,Tallinn,the Estonia is Tallinn,Tallinn,De hoofdstad van Estland is Tallinn,Tallinn
Ethiopia,Addis Ababa,Addis Abeba,Addis,Addis Ababa,Addis,Addis Abeba
Falkland Islands,Stanley,Stanley,The capital of the,Stanley,De,Stanley
Faroe Islands,Torshavn,Torshavn,The capital of the Faroe Islands is Torshavn,Torshavn,De hoofdstad van Faeröer is Torshavn,Torshavn
Federated States of Micronesia,Palikir,Palikir,The capital of the Federated States of Micronesia is Palikir,Palikir,De hoofdstad van Micronesië is Palikir,Palikir
Fiji,Suva,Suva,The capital of,Suva,De hoofdstad van,Suva
Finland,Helsinki,Helsinki,the Finland is Helsinki,Helsinki,De hoofdstad van Finland is Helsinki,Helsinki
France,Paris,Parijs,the France is Paris,Paris,De hoofdstad van Frankrijk is Parijs,Parijs
French Polynesia,Papeete,Papeete,The capital of the,Papeete,De hoofdstad van Frans-,Papeete
French Southern and Antarctic Lands,Port-aux-Français,Port-aux-Français,Antarctic Lands is Port-,Port-aux-Français,Zuidelijke Gebieden is Port-,Port-aux-Français
Gabon,Libreville,Libreville,The capital of,Libreville,De,Libreville
Georgia,Tbilisi,Tbilisi,The capital of,Tbilisi,De,Tbilisi
