relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0032414910858995136,0.0032414910858995136,0.15559157212317667,0.15559157212317667,[X] est [né;X-Gender=MASC|née;X-Gender=FEM] [PREPLOC;Y] [Y] .
P20,0.007889546351084813,0.007889546351084813,0.23471400394477318,0.23471400394477318,[X] est [décédé;X-Gender=MASC|décédée;X-Gender=FEM] [PREPLOC;Y] [Y] .
P279,0.04259259259259259,0.04259259259259259,0.22962962962962963,0.22962962962962963,[X] est une sous-classe [PREPDEF;Y] [Y] .
P37,0.0,0.0,0.25392670157068065,0.25392670157068065,La langue officielle [PREPDEF;X] [X] est [ARTDEF;Y] [Y] .
P413,0.0,0.0,0.43741209563994377,0.43741209563994377,[X] joue en position [PREPDEF;Y] [Y] .
P166,0.0,0.0,0.16829533116178066,0.16829533116178066,[X] a reçu [ARTDEF;Y] [Y] .
P449,0.004273504273504274,0.004273504273504274,0.23931623931623933,0.23931623931623933,[X] a été diffusé à l'origine sur [Y] .
P69,0.0,0.0,0.1774193548387097,0.1774193548387097,[X] a fait ses études à [ARTDEF;Y] [Y] .
P47,0.013677811550151976,0.013677811550151976,0.2507598784194529,0.2507598784194529,[ARTDEF;X] [X] partage la frontière avec [ARTDEF;Y] [Y] .
P138,0.036585365853658534,0.036585365853658534,0.3353658536585366,0.3353658536585366,[ARTDEF;X] [X] est [nommé;X-Gender=MASC|nommée;X-Gender=FEM] d'après [ARTDEF;Y] [Y] .
P364,0.0,0.0,0.3384615384615385,0.3384615384615385,La langue d'origine de [X] est  [ARTDEF;Y] [Y] .
P54,0.0,0.0,0.1141602634467618,0.1141602634467618,[X] joue avec [ARTDEF;Y] [Y] .
P463,0.0,0.0,0.14545454545454545,0.14545454545454545,[X] est membre de [ARTDEF;Y] [Y] .
P101,0.0018148820326678765,0.0018148820326678765,0.3176043557168784,0.3176043557168784,[X] travaille dans le domaine [PREPDEF;Y] [Y] .
P1923,0.0,0.0,0.0010869565217391304,0.0010869565217391304,[Y] a [participé;Y-Gender=MASC|participée;Y-Gender=FEM] [PREPDEF-à;X] [X] .
P106,0.0030303030303030303,0.0030303030303030303,0.5848484848484848,0.5848484848484848,[X] est [ARTIND;Y] [Y] de profession .
P527,0.0,0.0,0.1596958174904943,0.1596958174904943,[X] se compose de [Y] .
P102,0.0,0.0,0.28027681660899656,0.28027681660899656,[X] est membre [PREPDEF;Y] [Y] .
P530,0.019305019305019305,0.019305019305019305,0.23552123552123552,0.23552123552123552,[ARTDEF;X] [X] entretient des relations diplomatiques avec [ARTDEF;Y] [Y] .
P176,0.16173120728929385,0.16173120728929385,0.22323462414578588,0.22323462414578588,[ARTDEF;X] [X] est produit par [Y] .
P27,0.0,0.0,0.05745062836624776,0.05745062836624776,[X] est citoyen [ARTDEF;Y] [Y] .
P407,0.03773584905660377,0.03773584905660377,0.3867924528301887,0.3867924528301887,[X] a été [écrit;X-Gender=MASC|écrite;X-Gender=FEM] en [Y] .
P30,0.029045643153526972,0.029045643153526972,0.16597510373443983,0.16597510373443983,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] en [Y] .
P178,0.018893387314439947,0.018893387314439947,0.08097165991902834,0.08097165991902834,[X] est [développé;X-Gender=MASC|développée;X-Gender=FEM] par [Y] .
P1376,0.00718562874251497,0.00718562874251497,0.19161676646706588,0.19161676646706588,[X] est la capitale [PREPDEF;Y] [Y] .
P131,0.05545286506469501,0.05545286506469501,0.17190388170055454,0.17190388170055454,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P1412,0.0,0.0,0.5193798449612403,0.5193798449612403,[X] communiquait en [Y] .
P108,0.0,0.0,0.20116279069767443,0.20116279069767443,[X] travaille pour [Y] .
P136,0.0,0.0,0.479933110367893,0.479933110367893,[X] fait de la musique [Y] .
P17,0.1015625,0.1015625,0.31640625,0.31640625,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P39,0.0,0.0,0.08870967741935484,0.08870967741935484,[X] est [Y]
P264,0.0,0.0,0.0030959752321981426,0.0030959752321981426,[X] est [représenté;X-Gender=MASC|représentée;X-Gender=FEM] par le label musical [Y] .
P276,0.09265734265734266,0.09265734265734266,0.19755244755244755,0.19755244755244755,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P937,0.0,0.0,0.1289308176100629,0.1289308176100629,[X] travaillait auparavant [PREPDEF-à;Y] [Y] .
P140,0.0,0.0,0.06069364161849711,0.06069364161849711,[X] est [affilié;X-Gender=MASC|affiliée;X-Gender=FEM] [PREPDEF-à;Y] [Y] .
P1303,0.0,0.0,0.3785900783289817,0.3785900783289817,[X] joue [PREPDEF;Y] [Y] .
P127,0.012944983818770227,0.012944983818770227,0.2524271844660194,0.2524271844660194,[X] appartient [PREPDEF-à;Y] [Y] .
P103,0.0,0.0,0.5897435897435898,0.5897435897435898,La langue maternelle de [X] est [ARTDEF;Y] [Y] .
P190,0.009652509652509652,0.009652509652509652,0.1640926640926641,0.1640926640926641,[X] et [Y] sont des villes jumelles .
P1001,0.10989010989010989,0.10989010989010989,0.45494505494505494,0.45494505494505494,[ARTDEF;X] [X] gouverne [ARTDEF;Y] [Y] .
P31,0.009652509652509652,0.009652509652509652,0.2876447876447876,0.2876447876447876,[ARTDEF;X] [X] est un [ARTIND;Y] [Y] .
P495,0.0,0.0,0.026101141924959218,0.026101141924959218,[X] a été créé [PREPLOC;Y] [Y] .
P159,0.09705372616984402,0.09705372616984402,0.2391681109185442,0.2391681109185442,Le siège social [PREPDEF;X] [X] est en [PREPLOC;Y] [Y] .
P36,0.1060419235511714,0.1060419235511714,0.24537607891491986,0.24537607891491986,La capitale [PREPDEF;X] [X] est [Y] .
P740,0.013201320132013201,0.013201320132013201,0.36303630363036304,0.36303630363036304,[ARTDEF;X] [X] a été fondée [PREPLOC;Y] [Y] .
P361,0.0030959752321981426,0.0030959752321981426,0.23993808049535603,0.23993808049535603,[ARTDEF;X] [X] fait partie [PREPDEF;Y] [Y] .
