relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.010033444816053512,0.010033444816053512,0.15830546265328874,0.15830546265328874,[X] est [né;X-Gender=MASC|née;X-Gender=FEM] [PREPLOC;Y] [Y] .
P20,0.0111731843575419,0.0111731843575419,0.15195530726256984,0.15195530726256984,[X] est [décédé;X-Gender=MASC|décédée;X-Gender=FEM] [PREPLOC;Y] [Y] .
P279,0.04411764705882353,0.04411764705882353,0.22549019607843138,0.22549019607843138,[X] est une sous-classe [PREPDEF;Y] [Y] .
P37,0.0,0.0,0.14241164241164242,0.14241164241164242,La langue officielle [PREPDEF;X] [X] est [ARTDEF;Y] [Y] .
P413,0.0,0.0,0.08797327394209355,0.08797327394209355,[X] joue en position [PREPDEF;Y] [Y] .
P166,0.0,0.0,0.1737242128121607,0.1737242128121607,[X] a reçu [ARTDEF;Y] [Y] .
P449,0.0020964360587002098,0.0020964360587002098,0.22641509433962265,0.22641509433962265,[X] a été diffusé à l'origine sur [Y] .
P69,0.0,0.0,0.14695752009184845,0.14695752009184845,[X] a fait ses études à [ARTDEF;Y] [Y] .
P47,0.018292682926829267,0.018292682926829267,0.21341463414634146,0.21341463414634146,[ARTDEF;X] [X] partage la frontière avec [ARTDEF;Y] [Y] .
P138,0.0,0.0,0.22554347826086957,0.22554347826086957,[ARTDEF;X] [X] est [nommé;X-Gender=MASC|nommée;X-Gender=FEM] d'après [ARTDEF;Y] [Y] .
P364,0.0,0.0,0.0410958904109589,0.0410958904109589,La langue d'origine de [X] est  [ARTDEF;Y] [Y] .
P54,0.0,0.0,0.29088913282107576,0.29088913282107576,[X] joue avec [ARTDEF;Y] [Y] .
P463,0.0,0.0,0.14636752136752137,0.14636752136752137,[X] est membre de [ARTDEF;Y] [Y] .
P101,0.0,0.0,0.1967032967032967,0.1967032967032967,[X] travaille dans le domaine [PREPDEF;Y] [Y] .
P1923,0.0,0.0,0.058695652173913045,0.058695652173913045,[Y] a [participé;Y-Gender=MASC|participée;Y-Gender=FEM] [PREPDEF-à;X] [X] .
P106,0.0,0.0,0.22246455834242093,0.22246455834242093,[X] est [ARTIND;Y] [Y] de profession .
P527,0.0,0.0,0.22234273318872017,0.22234273318872017,[X] se compose de [Y] .
P102,0.0,0.0,0.27880184331797236,0.27880184331797236,[X] est membre [PREPDEF;Y] [Y] .
P530,0.006012024048096192,0.006012024048096192,0.13326653306613226,0.13326653306613226,[ARTDEF;X] [X] entretient des relations diplomatiques avec [ARTDEF;Y] [Y] .
P176,0.3290229885057471,0.3290229885057471,0.4382183908045977,0.4382183908045977,[ARTDEF;X] [X] est produit par [Y] .
P27,0.007633587786259542,0.007633587786259542,0.07742639040348964,0.07742639040348964,[X] est citoyen [ARTDEF;Y] [Y] .
P407,0.0728395061728395,0.0728395061728395,0.12962962962962962,0.12962962962962962,[X] a été [écrit;X-Gender=MASC|écrite;X-Gender=FEM] en [Y] .
P30,0.011312217194570135,0.011312217194570135,0.4117647058823529,0.4117647058823529,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] en [Y] .
P178,0.06378378378378378,0.06378378378378378,0.21081081081081082,0.21081081081081082,[X] est [développé;X-Gender=MASC|développée;X-Gender=FEM] par [Y] .
P1376,0.056016597510373446,0.056016597510373446,0.26348547717842324,0.26348547717842324,[X] est la capitale [PREPDEF;Y] [Y] .
P131,0.06675392670157068,0.06675392670157068,0.21727748691099477,0.21727748691099477,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P1412,0.11732456140350878,0.11732456140350878,0.27960526315789475,0.27960526315789475,[X] communiquait en [Y] .
P108,0.0,0.0,0.18383167220376523,0.18383167220376523,[X] travaille pour [Y] .
P136,0.0,0.0,0.3310104529616725,0.3310104529616725,[X] fait de la musique [Y] .
P17,0.11901504787961696,0.11901504787961696,0.22982216142270862,0.22982216142270862,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P39,0.0,0.0,0.17532467532467533,0.17532467532467533,[X] est [Y]
P264,0.0,0.0,0.09026369168356999,0.09026369168356999,[X] est [représenté;X-Gender=MASC|représentée;X-Gender=FEM] par le label musical [Y] .
P276,0.044096728307254626,0.044096728307254626,0.21337126600284495,0.21337126600284495,[X] est [situé;X-Gender=MASC|située;X-Gender=FEM] [PREPLOC;Y] [Y] .
P937,0.0,0.0,0.08214676889375684,0.08214676889375684,[X] travaillait auparavant [PREPDEF-à;Y] [Y] .
P140,0.0,0.0,0.0682095006090134,0.0682095006090134,[X] est [affilié;X-Gender=MASC|affiliée;X-Gender=FEM] [PREPDEF-à;Y] [Y] .
P1303,0.0,0.0,0.15287958115183245,0.15287958115183245,[X] joue [PREPDEF;Y] [Y] .
P127,0.022315202231520222,0.022315202231520222,0.24407252440725244,0.24407252440725244,[X] appartient [PREPDEF-à;Y] [Y] .
P103,0.0,0.0,0.04963805584281282,0.04963805584281282,La langue maternelle de [X] est [ARTDEF;Y] [Y] .
P190,0.0010111223458038423,0.0010111223458038423,0.17997977755308392,0.17997977755308392,[X] et [Y] sont des villes jumelles .
P1001,0.0343878954607978,0.0343878954607978,0.18844566712517194,0.18844566712517194,[ARTDEF;X] [X] gouverne [ARTDEF;Y] [Y] .
P31,0.011142061281337047,0.011142061281337047,0.11838440111420613,0.11838440111420613,[ARTDEF;X] [X] est un [ARTIND;Y] [Y] .
P495,0.0,0.0,0.043478260869565216,0.043478260869565216,[X] a été créé [PREPLOC;Y] [Y] .
P159,0.059887005649717516,0.059887005649717516,0.24180790960451978,0.24180790960451978,Le siège social [PREPDEF;X] [X] est en [PREPLOC;Y] [Y] .
P36,0.09926854754440961,0.09926854754440961,0.2497387669801463,0.2497387669801463,La capitale [PREPDEF;X] [X] est [Y] .
P740,0.0020876826722338203,0.0020876826722338203,0.12317327766179541,0.12317327766179541,[ARTDEF;X] [X] a été fondée [PREPLOC;Y] [Y] .
P361,0.0,0.0,0.2303448275862069,0.2303448275862069,[ARTDEF;X] [X] fait partie [PREPDEF;Y] [Y] .
